LSOA_Code,LSOA_Name,Total_All_Households,One-person household_Count,One-person household_Pct,One-person household: Aged 66 years and over_Count,One-person household: Aged 66 years and over_Pct,One-person household: Other_Count,One-person household: Other_Pct,Single family household_Count,Single family household_Pct,Single family household: All aged 66 years and over_Count,Single family household: All aged 66 years and over_Pct,Single family household: Married or civil partnership couple_Count,Single family household: Married or civil partnership couple_Pct,Single family household: Married or civil partnership couple: No children_Count,Single family household: Married or civil partnership couple: No children_Pct,Single family household: Married or civil partnership couple: Dependent children_Count,Single family household: Married or civil partnership couple: Dependent children_Pct,Single family household: Married or civil partnership couple: All children non-dependent_Count,Single family household: Married or civil partnership couple: All children non-dependent_Pct,Single family household: Cohabiting couple family_Count,Single family household: Cohabiting couple family_Pct,Single family household: Cohabiting couple family: No children_Count,Single family household: Cohabiting couple family: No children_Pct,Single family household: Cohabiting couple family: With dependent children_Count,Single family household: Cohabiting couple family: With dependent children_Pct,Single family household: Cohabiting couple family: All children non-dependent_Count,Single family household: Cohabiting couple family: All children non-dependent_Pct,Single family household: Lone parent family_Count,Single family household: Lone parent family_Pct,Single family household: Lone parent family: With dependent children_Count,Single family household: Lone parent family: With dependent children_Pct,Single family household: Lone parent family: All children non-dependent_Count,Single family household: Lone parent family: All children non-dependent_Pct,Single family household: Other single family household_Count,Single family household: Other single family household_Pct,Single family household: Other single family household: Other family composition_Count,Single family household: Other single family household: Other family composition_Pct,Other household types_Count,Other household types_Pct,Other household types: With dependent children_Count,Other household types: With dependent children_Pct,"Other household types: Other, including all full-time students and all aged 66 years and over_Count","Other household types: Other, including all full-time students and all aged 66 years and over_Pct"
E01026007,Boston 001A,488,119,24.4,72,14.8,47,9.6,346,70.9,86,17.6,185,37.9,100,20.5,51,10.5,34,7.0,45,9.2,22,4.5,19,3.9,4,0.8,28,5.7,21,4.3,7,1.4,2,0.4,2,0.4,23,4.7,11,2.3,12,2.5
E01026008,Boston 001B,563,152,27.0,105,18.7,47,8.3,381,67.7,92,16.3,194,34.5,92,16.3,55,9.8,47,8.3,51,9.1,23,4.1,23,4.1,5,0.9,42,7.5,26,4.6,16,2.8,2,0.4,2,0.4,30,5.3,14,2.5,16,2.8
E01026009,Boston 001C,514,120,23.3,74,14.4,46,8.9,359,69.8,89,17.3,181,35.2,87,16.9,60,11.7,34,6.6,48,9.3,26,5.1,16,3.1,6,1.2,39,7.6,19,3.7,20,3.9,2,0.4,2,0.4,35,6.8,17,3.3,18,3.5
E01026010,Boston 002A,751,213,28.4,67,8.9,146,19.4,475,63.2,18,2.4,169,22.5,55,7.3,87,11.6,27,3.6,136,18.1,44,5.9,84,11.2,8,1.1,144,19.2,113,15.0,31,4.1,8,1.1,8,1.1,63,8.4,32,4.3,31,4.1
E01026012,Boston 004A,534,181,33.9,120,22.5,61,11.4,335,62.7,85,15.9,118,22.1,53,9.9,39,7.3,26,4.9,54,10.1,20,3.7,31,5.8,3,0.6,75,14.0,51,9.6,24,4.5,3,0.6,3,0.6,18,3.4,9,1.7,9,1.7
E01026013,Boston 008A,620,156,25.2,108,17.4,48,7.7,429,69.2,114,18.4,215,34.7,98,15.8,80,12.9,37,6.0,64,10.3,27,4.4,30,4.8,7,1.1,36,5.8,15,2.4,21,3.4,0,0.0,0,0.0,35,5.6,13,2.1,22,3.5
E01026014,Boston 008B,780,158,20.3,97,12.4,61,7.8,579,74.2,104,13.3,295,37.8,123,15.8,117,15.0,55,7.1,102,13.1,52,6.7,43,5.5,7,0.9,74,9.5,54,6.9,20,2.6,4,0.5,4,0.5,43,5.5,18,2.3,25,3.2
E01026015,Boston 004B,698,172,24.6,72,10.3,100,14.3,478,68.5,48,6.9,184,26.4,77,11.0,77,11.0,30,4.3,144,20.6,69,9.9,65,9.3,10,1.4,96,13.8,71,10.2,25,3.6,6,0.9,6,0.9,48,6.9,24,3.4,24,3.4
E01026016,Boston 006A,1030,252,24.5,155,15.0,97,9.4,727,70.6,156,15.1,339,32.9,161,15.6,113,11.0,65,6.3,138,13.4,69,6.7,56,5.4,13,1.3,89,8.6,50,4.9,39,3.8,5,0.5,5,0.5,51,5.0,20,1.9,31,3.0
E01026017,Boston 007A,699,177,25.3,113,16.2,64,9.2,482,69.0,91,13.0,235,33.6,113,16.2,75,10.7,47,6.7,82,11.7,52,7.4,27,3.9,3,0.4,71,10.2,34,4.9,37,5.3,3,0.4,3,0.4,40,5.7,17,2.4,23,3.3
