Lower layer Super Output Areas Code,Lower layer Super Output Areas,Car or van availability (5 categories) Code,Car or van availability (5 categories),Observation
E01026007,Boston 001A,-8,Does not apply,0
E01026007,Boston 001A,0,No cars or vans in household,48
E01026007,Boston 001A,1,1 car or van in household,196
E01026007,Boston 001A,2,2 cars or vans in household,171
E01026007,Boston 001A,3,3 or more cars or vans in household,76
E01026008,Boston 001B,-8,Does not apply,0
E01026008,Boston 001B,0,No cars or vans in household,59
E01026008,Boston 001B,1,1 car or van in household,230
E01026008,Boston 001B,2,2 cars or vans in household,176
E01026008,Boston 001B,3,3 or more cars or vans in household,95
E01026009,Boston 001C,-8,Does not apply,0
E01026009,Boston 001C,0,No cars or vans in household,42
E01026009,Boston 001C,1,1 car or van in household,206
E01026009,Boston 001C,2,2 cars or vans in household,172
E01026009,Boston 001C,3,3 or more cars or vans in household,94
E01026010,Boston 002A,-8,Does not apply,0
E01026010,Boston 002A,0,No cars or vans in household,288
E01026010,Boston 002A,1,1 car or van in household,321
E01026010,Boston 002A,2,2 cars or vans in household,114
E01026010,Boston 002A,3,3 or more cars or vans in household,28
E01026012,Boston 004A,-8,Does not apply,0
E01026012,Boston 004A,0,No cars or vans in household,121
E01026012,Boston 004A,1,1 car or van in household,263
E01026012,Boston 004A,2,2 cars or vans in household,123
E01026012,Boston 004A,3,3 or more cars or vans in household,29
E01026013,Boston 008A,-8,Does not apply,0
E01026013,Boston 008A,0,No cars or vans in household,58
E01026013,Boston 008A,1,1 car or van in household,275
E01026013,Boston 008A,2,2 cars or vans in household,199
E01026013,Boston 008A,3,3 or more cars or vans in household,87
E01026014,Boston 008B,-8,Does not apply,0
E01026014,Boston 008B,0,No cars or vans in household,76
E01026014,Boston 008B,1,1 car or van in household,314
E01026014,Boston 008B,2,2 cars or vans in household,275
E01026014,Boston 008B,3,3 or more cars or vans in household,117
E01026015,Boston 004B,-8,Does not apply,0
E01026015,Boston 004B,0,No cars or vans in household,85
E01026015,Boston 004B,1,1 car or van in household,341
E01026015,Boston 004B,2,2 cars or vans in household,209
E01026015,Boston 004B,3,3 or more cars or vans in household,64
E01026016,Boston 006A,-8,Does not apply,0
