Name,Code,Post Code,LSOA
ABBEY MEDICAL PRACTICE ,C83051,LN2 5HR,E01026122
ABBEYVIEW SURGERY ,C83617,PE6 0AL,E01026240
BEACON MEDICAL PRACTICE ,C83019,PE25 2RN,E01034686
BEECHFIELD MEDICAL CENTRE ,C83003,PE11 1UN,E01026272
BILLINGHAY MEDICAL PRACTICE ,C83030,LN4 4AU,E01026183
BINBROOK SURGERY ,C83643,LN8 6ED,E01026045
BIRCHWOOD MEDICAL PRACTICE ,C83082,LN6 0QQ,E01034690
BOULTHAM PARK MEDICAL PRACTICE ,C83014,LN6 7SS,E01026135
BOURNE GALLETLY PRACTICE TEAM ,C83054,PE10 9BT,E01026302
BRANT ROAD & SPRINGCLIFFE SURGERY ,C83078,LN5 9AB,E01026140
BRAYFORD MEDICAL PRACTICE ,C83626,LN1 1XP,E01034688
CAISTOR HEALTH CENTRE ,C83613,LN7 6NX,E01026367
CASKGATE STREET SURGERY ,C83044,DN21 2DJ,E01026384
CAYTHORPE & ANCASTER MEDICAL PRACTICE ,C83020,NG32 3PP,E01026314
CHURCH WALK SURGERY ,C83062,LN4 3HA,E01026213
CLEVELAND SURGERY ,C83018,DN21 2UQ,E01026381
CLIFF HOUSE MEDICAL PRACTICE ,C83073,LN1 3LJ,E01026147
COLSTERWORTH SURGERY ,C83053,NG33 5NJ,E01026331
DR SINHA & PARTNERS ,C83049,PE22 9LE,E01026024
EAST LINDSEY MEDICAL GROUP ,C83056,LN11 9EH,E01026081
GLEBE PARK SURGERY ,C83079,LN2 4WA,E01026153
GOSBERTON MEDICAL CENTRE ,C83036,PE11 4NL,E01026247
GREYFRIARS SURGERY ,C83059,PE21 6JU,E01026025
HAWTHORN MEDICAL PRACTICE ,C83045,PE25 3TD,E01026094
HEART OF LINCOLN HEALTH GROUP ,C83001,LN5 7LB,E01026176
HEREWARD MEDICAL CENTRE ,C83035,PE10 9XR,E01026299
HIBALDSTOW MEDICAL PRACTICE ,C83033,DN20 9ED,E01013329
HOLBEACH MEDICAL CENTRE ,C83028,PE12 7EE,E01026252
HORNCASTLE MEDICAL GROUP ,C83027,LN9 6AL,E01026067
JAMES STREET FAMILY PRACTICE ,C83085,LN11 0JN,E01032986
KIRTON MEDICAL CENTRE ,C83057,PE20 1DS,E01026020
LAKESIDE HEALTHCARE STAMFORD ,C83007,PE9 1YA,E01026350
LINDUM MEDICAL PRACTICE ,C83009,LN2 2JP,E01026165
LIQUORPOND SURGERY ,C83004,PE21 8UE,E01034681
LITTLEBURY MEDICAL CENTRE ,C83065,PE12 7DE,E01026250
LONG BENNINGTON MEDICAL CENTRE ,C83067,NG23 5FR,E01026355
LONG SUTTON MEDICAL CTR. ,C83063,PE12 9HB,E01026255
MARISCO MEDICAL PRACTICE ,C83064,LN12 1DP,E01026073
MARKET CROSS SURGERY ,C83649,NG33 4BB,E01026316
MARKET RASEN SURGERY ,C83043,LN8 3BP,E01026390
MARSH MEDICAL PRACTICE ,C83042,LN11 7QU,E01026079
MERTON LODGE SURGERY ,C83032,LN13 9HT,E01026043
MILLVIEW MEDICAL CENTRE ,C83011,NG34 9QP,E01026202
MINSTER MEDICAL PRACTICE ,C83072,LN2 2JP,E01026165
MOULTON MEDICAL CENTRE ,C83039,PE12 6QB,E01026282
MUNRO MEDICAL CENTRE ,C83022,PE11 2BY,E01032996
NAVENBY CLIFF VILLAGES SURGERY ,C83002,LN5 0JJ,E01026195
NETTLEHAM MEDICAL PRACTICE ,C83031,LN2 2RS,E01026393
NORTH THORESBY SURGERY ,C83061,DN36 5RT,E01026080
PARKSIDE MEDICAL CENTRE ,C83010,PE21 6PF,E01026036
RICHMOND MEDICAL CENTRE ,C83025,LN6 9AY,E01026218
RUSKINGTON SURGERY ,C83013,NG34 9GQ,E01026223
SLEAFORD MEDICAL GROUP ,C83023,NG34 7HD,E01026232
SPILSBY SURGERY ,C83005,PE23 5LG,E01026100
STICKNEY SURGERY ,C83055,PE22 8AA,E01026102
ST. JOHNS MEDICAL CENTRE ,C83048,NG31 6HR,E01026317
ST. PETERS HILL SURGERY ,C83040,NG31 6QA,E01026323
SUTTERTON SURGERY ,C83614,PE20 2ET,E01026016
SWINESHEAD SURGERY ,C83015,PE20 3JE,E01026034
SWINGBRIDGE SURGERY ,C83008,NG31 7XT,E01026308
TASBURGH LODGE SURGERY ,C83634,LN10 6TX,E01026119
THE BASSINGHAM SURGERY ,C83611,LN5 9HF,E01026182
THE BRANSTON HEIGHINGTON FAMILY PRACTICE ,C83029,LN4 1LH,E01026190
THE DEEPINGS PRACTICE ,C83026,PE6 8DD,E01026337
THE GLEBE PRACTICE ,C83038,LN1 2NU,E01026398
THE GLENSIDE COUNTRY PRACTICE ,C83024,NG33 4RZ,E01026338
THE HARROWBY LANE SURGERY ,C83080,NG31 9NS,E01026328
THE HEATH SURGERY ,C83046,LN4 2LA,E01026186
THE INGHAM SURGERY ,C83052,LN1 2XF,E01026399
THE NEW CONINGSBY SURGERY ,C83083,LN4 4SG,E01026054
THE NEW SPRINGWELLS PRACTICE ,Y01652,NG34 0QQ,E01026361
THE SIDINGS MEDICAL PRACTICE ,C83060,PE21 8EG,E01026030
THE WELBY PRACTICE ,C82076,NG13 0AN,E01025886
THE WOODLAND MEDICAL PRACTICE ,C83041,LN6 0QQ,E01034690
THE WRAGBY SURGERY ,C83650,LN8 5DA,E01026121
TRENT VALLEY SURGERY ,C83641,LN1 2NU,E01026398
VINE STREET SURGERY ,C83075,NG31 6RQ,E01026323
WASHINGBOROUGH SURGERY ,C83058,LN4 1BN,E01026203
WELTON FAMILY HEALTH CENTRE ,C83037,LN2 3JH,E01026412
WILLINGHAM-BY-STOW SURGERY ,C83074,DN21 5JZ,E01026404
WOODHALL SPA NEW SURGERY ,C83635,LN10 6SQ,E01026120
