date,id,name,items,actual_cost
01/05/2026,C83053,COLSTERWORTH SURGERY,299,1590.06
01/05/2026,C83643,BINBROOK SURGERY,475,912.58
01/05/2026,C83024,THE GLENSIDE COUNTRY PRACTICE,599,816.22
01/05/2026,C83641,TRENT VALLEY SURGERY,630,1018.41
01/05/2026,C83029,THE BRANSTON HEIGHINGTON FAMILY PRACTICE,698,2250.11
01/05/2026,C83052,THE INGHAM SURGERY,715,1392.55
01/05/2026,C83650,THE WRAGBY SURGERY,752,1502.17
01/05/2026,C83649,MARKET CROSS SURGERY,762,1579.48
01/05/2026,C83033,HIBALDSTOW MEDICAL PRACTICE,770,1071.25
01/05/2026,C83067,LONG BENNINGTON MEDICAL CENTRE,823,1726.28
01/05/2026,C82076,THE WELBY PRACTICE,838,2037.87
01/05/2026,C83634,TASBURGH LODGE SURGERY,851,1883.57
01/05/2026,C83613,CAISTOR HEALTH CENTRE,915,1567.69
01/05/2026,C83062,CHURCH WALK SURGERY,919,2151.29
01/05/2026,C83635,WOODHALL SPA NEW SURGERY,919,1657.77
01/05/2026,C83080,THE HARROWBY LANE SURGERY,925,1972.07
01/05/2026,C83614,SUTTERTON SURGERY,928,1515.55
01/05/2026,C83046,THE HEATH SURGERY,1034,1964.63
01/05/2026,C83074,WILLINGHAM-BY-STOW SURGERY,1034,1667.32
01/05/2026,C83051,ABBEY MEDICAL PRACTICE,1134,1993.48
01/05/2026,C83039,MOULTON MEDICAL CENTRE,1149,2238.59
01/05/2026,C83055,STICKNEY SURGERY,1215,2180.97
01/05/2026,C83002,NAVENBY CLIFF VILLAGES SURGERY,1263,2763.58
01/05/2026,C83049,DR SINHA & PARTNERS,1316,2259.08
01/05/2026,C83041,THE WOODLAND MEDICAL PRACTICE,1318,3675.91
01/05/2026,C83030,BILLINGHAY MEDICAL PRACTICE,1331,1693.18
01/05/2026,C83079,GLEBE PARK SURGERY,1333,2087.65
01/05/2026,C83042,MARSH MEDICAL PRACTICE,1337,2362.79
01/05/2026,C83032,MERTON LODGE SURGERY,1340,2811.7
01/05/2026,C83008,SWINGBRIDGE SURGERY,1346,2603.25
01/05/2026,C83073,CLIFF HOUSE MEDICAL PRACTICE,1353,2731.71
01/05/2026,C83004,LIQUORPOND SURGERY,1374,3898.19
01/05/2026,C83013,RUSKINGTON SURGERY,1376,3316.47
01/05/2026,C83611,THE BASSINGHAM SURGERY,1382,4089.01
01/05/2026,C83038,THE GLEBE PRACTICE,1424,2517.74
01/05/2026,C83083,THE NEW CONINGSBY SURGERY,1477,2750.61
01/05/2026,C83005,SPILSBY SURGERY,1506,3413.92
01/05/2026,Y01652,THE NEW SPRINGWELLS PRACTICE,1583,1804.14
01/05/2026,C83057,KIRTON MEDICAL CENTRE,1584,4429.94
01/05/2026,C83037,WELTON FAMILY HEALTH CENTRE,1621,2642.31
01/05/2026,C83617,ABBEYVIEW SURGERY,1639,2645.53
01/05/2026,C83058,WASHINGBOROUGH SURGERY,1662,5661.09
01/05/2026,C83072,MINSTER MEDICAL PRACTICE,1667,4349.2
01/05/2026,C83015,SWINESHEAD SURGERY,1708,2827.34
01/05/2026,C83075,VINE STREET SURGERY,1714,3118.83
01/05/2026,C83028,HOLBEACH MEDICAL CENTRE,1762,2707.98
01/05/2026,C83078,BRANT ROAD & SPRINGCLIFFE SURGERY,1775,4475.15
01/05/2026,C83009,LINDUM MEDICAL PRACTICE,1798,3483.53
01/05/2026,C83020,CAYTHORPE & ANCASTER MEDICAL PRACTICE,1851,3191.72
01/05/2026,C83626,BRAYFORD MEDICAL PRACTICE,1893,4516.66
01/05/2026,C83061,NORTH THORESBY SURGERY,1909,3747.61
01/05/2026,C83059,GREYFRIARS SURGERY,1947,4327.64
01/05/2026,C83048,ST. JOHNS MEDICAL CENTRE,1954,4651.66
01/05/2026,C83027,HORNCASTLE MEDICAL GROUP,1985,4990.55
01/05/2026,C83010,PARKSIDE MEDICAL CENTRE,1995,5842.9
01/05/2026,C83082,BIRCHWOOD MEDICAL PRACTICE,2029,3955.71
01/05/2026,C83035,HEREWARD MEDICAL CENTRE,2070,4087.39
01/05/2026,C83031,NETTLEHAM MEDICAL PRACTICE,2079,4629.37
01/05/2026,C83065,LITTLEBURY MEDICAL CENTRE,2149,3724.36
01/05/2026,C83011,MILLVIEW MEDICAL CENTRE,2177,5749.07
01/05/2026,C83060,THE SIDINGS MEDICAL PRACTICE,2224,5108.08
01/05/2026,C83043,MARKET RASEN SURGERY,2231,4048.24
01/05/2026,C83014,BOULTHAM PARK MEDICAL PRACTICE,2330,3649.73
01/05/2026,C83036,GOSBERTON MEDICAL CENTRE,2420,3937.26
01/05/2026,C83040,ST. PETERS HILL SURGERY,2618,4533.22
01/05/2026,C83054,BOURNE GALLETLY PRACTICE TEAM,2709,6255.95
01/05/2026,C83056,EAST LINDSEY MEDICAL GROUP,2901,6662.41
01/05/2026,C83085,JAMES STREET FAMILY PRACTICE,3048,7205.78
01/05/2026,C83018,CLEVELAND SURGERY,3061,4930.04
01/05/2026,C83003,BEECHFIELD MEDICAL CENTRE,3146,4349.75
01/05/2026,C83044,CASKGATE STREET SURGERY,3154,5620.12
01/05/2026,C83045,HAWTHORN MEDICAL PRACTICE,3286,6761.45
01/05/2026,C83025,RICHMOND MEDICAL CENTRE,3298,5837.14
01/05/2026,C83023,SLEAFORD MEDICAL GROUP,3354,5993.78
01/05/2026,C83026,THE DEEPINGS PRACTICE,3461,7483.87
01/05/2026,C83063,LONG SUTTON MEDICAL CTR.,3601,7491.69
01/05/2026,C83001,HEART OF LINCOLN HEALTH GROUP,3847,12920.93
01/05/2026,C83022,MUNRO MEDICAL CENTRE,4175,5687.74
01/05/2026,C83007,LAKESIDE HEALTHCARE STAMFORD,4789,11549.78
01/05/2026,C83064,MARISCO MEDICAL PRACTICE,5085,7691.37
01/05/2026,C83019,BEACON MEDICAL PRACTICE,5634,9024.78
