LSOA code (2021),LSOA name (2021),Local Authority District code (2024),Local Authority District name (2024),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOA
E01026007,Boston 001A,E07000136,Boston,15299,5
E01026008,Boston 001B,E07000136,Boston,12186,4
E01026009,Boston 001C,E07000136,Boston,10131,4
E01026010,Boston 002A,E07000136,Boston,2314,1
E01026012,Boston 004A,E07000136,Boston,4785,2
E01026013,Boston 008A,E07000136,Boston,21666,7
E01026014,Boston 008B,E07000136,Boston,16897,6
E01026015,Boston 004B,E07000136,Boston,12306,4
E01026016,Boston 006A,E07000136,Boston,12052,4
E01026017,Boston 007A,E07000136,Boston,7063,3
E01026018,Boston 007B,E07000136,Boston,15594,5
E01026019,Boston 007C,E07000136,Boston,7831,3
E01026020,Boston 007D,E07000136,Boston,15668,5
E01026021,Boston 003B,E07000136,Boston,17980,6
E01026022,Boston 008C,E07000136,Boston,26463,8
E01026023,Boston 001D,E07000136,Boston,10742,4
E01026024,Boston 001E,E07000136,Boston,10129,4
E01026025,Boston 003C,E07000136,Boston,4228,2
E01026026,Boston 004C,E07000136,Boston,5826,2
E01026027,Boston 004D,E07000136,Boston,9257,3
E01026028,Boston 004E,E07000136,Boston,7635,3
E01026030,Boston 002C,E07000136,Boston,3010,1
E01026031,Boston 009B,E07000136,Boston,14123,5
E01026032,Boston 002D,E07000136,Boston,3852,2
E01026033,Boston 006B,E07000136,Boston,11617,4
E01026034,Boston 006C,E07000136,Boston,12415,4
E01026035,Boston 009C,E07000136,Boston,27911,9
E01026036,Boston 003D,E07000136,Boston,2409,1
E01026037,Boston 002E,E07000136,Boston,3500,2
E01026038,Boston 008D,E07000136,Boston,18013,6
E01026039,Boston 009D,E07000136,Boston,15685,5
E01026040,Boston 008E,E07000136,Boston,14391,5
E01026041,Boston 007E,E07000136,Boston,4408,2
E01026042,East Lindsey 008A,E07000137,East Lindsey,5200,2
E01026043,East Lindsey 008B,E07000137,East Lindsey,7100,3
E01026044,East Lindsey 008C,E07000137,East Lindsey,11698,4
E01026045,East Lindsey 001A,E07000137,East Lindsey,13260,4
E01026046,East Lindsey 013A,E07000137,East Lindsey,6961,3
E01026047,East Lindsey 013B,E07000137,East Lindsey,19117,6
E01026048,East Lindsey 010A,E07000137,East Lindsey,586,1
E01026049,East Lindsey 010B,E07000137,East Lindsey,4721,2
E01026050,East Lindsey 010C,E07000137,East Lindsey,6203,2
E01026051,East Lindsey 016A,E07000137,East Lindsey,18511,6
E01026052,East Lindsey 016B,E07000137,East Lindsey,15056,5
E01026053,East Lindsey 016C,E07000137,East Lindsey,18338,6
E01026054,East Lindsey 016D,E07000137,East Lindsey,6638,2
E01026055,East Lindsey 013C,E07000137,East Lindsey,10993,4
E01026056,East Lindsey 017A,E07000137,East Lindsey,4668,2
E01026057,East Lindsey 018A,E07000137,East Lindsey,8027,3
E01026058,East Lindsey 002A,E07000137,East Lindsey,16473,5
E01026059,East Lindsey 013D,E07000137,East Lindsey,9867,3
E01026060,East Lindsey 009A,E07000137,East Lindsey,10649,4
E01026061,East Lindsey 001B,E07000137,East Lindsey,25242,8
E01026062,East Lindsey 001C,E07000137,East Lindsey,19034,6
E01026063,East Lindsey 001D,E07000137,East Lindsey,24094,8
E01026064,East Lindsey 011A,E07000137,East Lindsey,5651,2
E01026065,East Lindsey 011B,E07000137,East Lindsey,21121,7
E01026066,East Lindsey 011C,E07000137,East Lindsey,21701,7
E01026067,East Lindsey 011D,E07000137,East Lindsey,9624,3
E01026068,East Lindsey 009B,E07000137,East Lindsey,10390,4
E01026069,East Lindsey 010D,E07000137,East Lindsey,903,1
E01026070,East Lindsey 009C,E07000137,East Lindsey,17583,6
E01026071,East Lindsey 007A,E07000137,East Lindsey,13725,5
E01026072,East Lindsey 005A,E07000137,East Lindsey,2058,1
E01026073,East Lindsey 005B,E07000137,East Lindsey,1252,1
E01026074,East Lindsey 005C,E07000137,East Lindsey,2153,1
E01026075,East Lindsey 018B,E07000137,East Lindsey,9375,3
E01026076,East Lindsey 002B,E07000137,East Lindsey,12537,4
E01026077,East Lindsey 003A,E07000137,East Lindsey,6655,2
E01026078,East Lindsey 003B,E07000137,East Lindsey,7885,3
E01026079,East Lindsey 002C,E07000137,East Lindsey,10759,4
E01026080,East Lindsey 001E,E07000137,East Lindsey,17263,6
E01026081,East Lindsey 004A,E07000137,East Lindsey,11286,4
E01026082,East Lindsey 007B,E07000137,East Lindsey,15111,5
E01026083,East Lindsey 015A,E07000137,East Lindsey,128,1
E01026084,East Lindsey 012A,E07000137,East Lindsey,4012,2
E01026087,East Lindsey 003C,E07000137,East Lindsey,6960,3
E01026088,East Lindsey 003D,E07000137,East Lindsey,23381,7
E01026089,East Lindsey 004C,E07000137,East Lindsey,22281,7
E01026090,East Lindsey 003E,E07000137,East Lindsey,12379,4
E01026091,East Lindsey 003F,E07000137,East Lindsey,20568,7
E01026092,East Lindsey 014A,E07000137,East Lindsey,1481,1
E01026093,East Lindsey 014B,E07000137,East Lindsey,324,1
E01026094,East Lindsey 015B,E07000137,East Lindsey,2090,1
E01026095,East Lindsey 014C,E07000137,East Lindsey,4603,2
E01026096,East Lindsey 015C,E07000137,East Lindsey,20185,6
E01026097,East Lindsey 015D,E07000137,East Lindsey,4860,2
E01026098,East Lindsey 018C,E07000137,East Lindsey,17104,6
E01026099,East Lindsey 005D,E07000137,East Lindsey,9163,3
E01026100,East Lindsey 013E,E07000137,East Lindsey,11756,4
E01026101,East Lindsey 013F,E07000137,East Lindsey,4015,2
E01026102,East Lindsey 018D,E07000137,East Lindsey,8601,3
E01026103,East Lindsey 006A,E07000137,East Lindsey,6704,2
E01026104,East Lindsey 006B,E07000137,East Lindsey,8338,3
E01026105,East Lindsey 009D,E07000137,East Lindsey,14767,5
E01026106,East Lindsey 001F,E07000137,East Lindsey,18146,6
E01026107,East Lindsey 001G,E07000137,East Lindsey,13188,4
E01026108,East Lindsey 003G,E07000137,East Lindsey,5622,2
E01026109,East Lindsey 006C,E07000137,East Lindsey,4883,2
E01026110,East Lindsey 017B,E07000137,East Lindsey,6542,2
E01026111,East Lindsey 017C,E07000137,East Lindsey,6213,2
E01026112,East Lindsey 017D,E07000137,East Lindsey,577,1
E01026113,East Lindsey 008D,E07000137,East Lindsey,8312,3
E01026114,East Lindsey 014D,E07000137,East Lindsey,1786,1
E01026115,East Lindsey 012C,E07000137,East Lindsey,2478,1
E01026116,East Lindsey 012D,E07000137,East Lindsey,7329,3
E01026117,East Lindsey 008E,E07000137,East Lindsey,8610,3
E01026118,East Lindsey 016E,E07000137,East Lindsey,26481,8
E01026119,East Lindsey 016F,E07000137,East Lindsey,26667,8
E01026120,East Lindsey 016G,E07000137,East Lindsey,16346,5
E01026121,East Lindsey 007C,E07000137,East Lindsey,10722,4
E01026122,Lincoln 004A,E07000138,Lincoln,8992,3
E01026123,Lincoln 004B,E07000138,Lincoln,7247,3
E01026124,Lincoln 004C,E07000138,Lincoln,7275,3
E01026125,Lincoln 003A,E07000138,Lincoln,9807,3
E01026126,Lincoln 004D,E07000138,Lincoln,744,1
E01026127,Lincoln 007A,E07000138,Lincoln,2582,1
E01026129,Lincoln 007C,E07000138,Lincoln,291,1
E01026130,Lincoln 009A,E07000138,Lincoln,21801,7
E01026131,Lincoln 007D,E07000138,Lincoln,6995,3
E01026132,Lincoln 005A,E07000138,Lincoln,14528,5
E01026134,Lincoln 006A,E07000138,Lincoln,7890,3
E01026135,Lincoln 008B,E07000138,Lincoln,18773,6
E01026136,Lincoln 008C,E07000138,Lincoln,23168,7
E01026137,Lincoln 011A,E07000138,Lincoln,22975,7
E01026138,Lincoln 011B,E07000138,Lincoln,23002,7
E01026139,Lincoln 011C,E07000138,Lincoln,29652,9
E01026140,Lincoln 011D,E07000138,Lincoln,9075,3
E01026141,Lincoln 011E,E07000138,Lincoln,25935,8
E01026142,Lincoln 011F,E07000138,Lincoln,4645,2
E01026144,Lincoln 003B,E07000138,Lincoln,17923,6
E01026145,Lincoln 005C,E07000138,Lincoln,19444,6
E01026146,Lincoln 005D,E07000138,Lincoln,6356,2
E01026147,Lincoln 003C,E07000138,Lincoln,21959,7
E01026148,Lincoln 003D,E07000138,Lincoln,10710,4
E01026149,Lincoln 001A,E07000138,Lincoln,3086,1
E01026150,Lincoln 001B,E07000138,Lincoln,1446,1
E01026151,Lincoln 003E,E07000138,Lincoln,16453,5
E01026152,Lincoln 004E,E07000138,Lincoln,293,1
E01026153,Lincoln 002A,E07000138,Lincoln,19520,6
E01026154,Lincoln 004F,E07000138,Lincoln,6081,2
E01026155,Lincoln 002B,E07000138,Lincoln,25557,8
E01026156,Lincoln 004G,E07000138,Lincoln,5879,2
