LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct
E01026006,East Midlands,E07000136,Boston,1076,6.17920332032778,3.3996282527881,6.41635687732342,9.90520446096654,9.90520446096654,100,100,100,100,6.81305637982196,4,5,6.11710037174721,8.14869888475836,100,100,100,100,6.89385381226016,4.67657992565056,10,10,10,100,100,100,100
E01026007,East Midlands,E07000136,Boston,445,21.8057837259202,0,2.29438202247191,5,7,0,100,100,100,28.3045822102426,0,1,5,6,0,100,100,100,13.1725156772062,1,9.22921348314607,10,10,100,100,100,100
E01026008,East Midlands,E07000136,Boston,541,26.6948949274914,0,3.5268022181146,6.61182994454713,7.52125693160813,0,73.9371534195933,100,100,29.0031605562579,0,2.6173752310536,5,6.26987060998152,0,73.9371534195933,100,100,15.121624136393,2.14787430683919,9.04805914972274,10,10,73.9371534195933,100,100,100
E01026009,East Midlands,E07000136,Boston,484,18.9806925824171,0.247933884297521,2.53305785123967,4.57851239669422,7.03719008264463,24.7933884297521,100,100,100,19.3196202531646,0,1,4.27685950413223,6.48760330578512,0,100,100,100,9.72018190501611,1,9.24793388429752,10,10,100,100,100,100
E01026010,East Midlands,E07000136,Boston,648,16.8948677158293,0,4,7.24382716049383,10,0,100,100,100,11.3431952662722,4,4,5,8,100,100,100,100,9.35538484985933,4,10,10,10,100,100,100,100
E01026011,East Midlands,E07000136,Boston,1033,15.4889518967193,0.933204259438529,4.27395934172314,8.95837366892546,10,54.1142303969022,100,100,100,9.67733591981895,3.44820909970958,4,5,8.25556631171346,100,100,100,100,8.79310043043894,4,10,10,10,100,100,100,100
E01026012,East Midlands,E07000136,Boston,563,19.4945902500497,0,4.27708703374778,6.28063943161634,9.30373001776199,0,100,100,100,14.1349957007739,1.0461811722913,4,5.74600355239787,9,53.8188277087034,100,100,100,10.4548324993327,4,10,10,10,100,100,100,100
E01026013,East Midlands,E07000136,Boston,613,18.6119321122062,0.220228384991843,3.89396411092985,7.82055464926591,9.77324632952692,22.0228384991843,100,100,100,13.7946611909651,1.60032626427406,4,5.3931484502447,8.83360522022839,60.6851549755302,100,100,100,10.7002602739745,3.83360522022838,10,10,10,100,100,100,100
E01026014,East Midlands,E07000136,Boston,765,20.1789810781678,0,3.6,6,8.2,0,100,100,100,17.59375,0.4,4,5.19738562091503,7.4,26.6666666666667,100,100,100,11.5209739089012,3.20261437908497,9.62614379084967,10,10,100,100,100,100
E01026015,East Midlands,E07000136,Boston,580,20.0340193463123,0,3.3948275862069,6.57241379310345,10,0,100,100,100,12.9173228346457,2.38965517241379,4,5,8.60689655172414,100,100,100,100,9.87692924809894,4,10,10,10,100,100,100,100
E01026016,East Midlands,E07000136,Boston,1012,12.2720482951783,1.22529644268775,3.49505928853755,6.8300395256917,7.39723320158103,71.4426877470356,100,100,100,11.6631205673759,0.594861660079051,2.40909090909091,6.17094861660079,9.51383399209486,59.4861660079051,100,100,100,7.55715424498768,4.51383399209486,10,10,10,100,100,100,100
E01026017,East Midlands,E07000136,Boston,616,24.914635295904,0,0.99025974025974,5.00324675324675,8.30357142857143,0,49.512987012987,100,100,15.653434152489,0.470779220779221,1.80032467532468,5.68668831168831,10,47.0779220779221,100,100,100,9.02650925192205,2.75,10,10,10,100,100,100,100
E01026018,East Midlands,E07000136,Boston,644,16.6405202784437,0.507763975155279,4.54813664596273,9.45341614906832,9.75310559006211,34.9378881987578,100,100,100,16.2003546099291,0.453416149068323,4.71739130434783,7.24689440993789,9.24689440993789,45.3416149068323,100,100,100,9.10949181326738,5.80745341614907,10,10,10,100,100,100,100
E01026019,East Midlands,E07000136,Boston,910,10.0150569225119,0.905494505494506,4.14175824175824,8.91098901098901,9.66703296703297,90.5494505494506,90.5494505494506,100,100,7.99375688578773,0.905494505494506,4.06813186813187,7.12637362637363,8.90549450549451,90.5494505494506,100,100,100,7.20937939089447,4.30549450549451,10,10,10,100,100,100,100
E01026020,East Midlands,E07000136,Boston,869,9.86763966124919,1.0379746835443,6.06214039125432,8.69965477560414,8.69965477560414,81.7031070195627,100,100,100,8.72265625,0.817031070195627,4.46950517836594,7.30034522439586,9,81.7031070195627,100,100,100,6.86123269444539,5.46950517836594,10,10,10,100,100,100,100
E01026021,East Midlands,E07000136,Boston,759,11.9586028134302,1.13965744400527,5.74571805006588,9.78524374176548,10,71.0144927536232,100,100,100,9.41097424412094,3.88274044795784,4,5,9,100,100,100,100,9.08354993149521,4,10,10,10,100,100,100,100
E01026022,East Midlands,E07000136,Boston,779,18.280855998857,0.130937098844673,3.91142490372272,9.81514762516046,10,13.0937098844673,100,100,100,11.9372921615202,1.96919127086008,4,5,9,100,100,100,100,10.6063609909275,4,10,10,10,100,100,100,100
E01026023,East Midlands,E07000136,Boston,540,16.6805976903559,0.416666666666667,1.5,6.75740740740741,9.65925925925926,41.6666666666667,100,100,100,16.7966714905933,0.174074074074074,1,1,3.34814814814815,17.4074074074074,100,100,100,9.34089704394858,1,9.83333333333333,10,10,100,100,100,100
E01026024,East Midlands,E07000136,Boston,791,17.7885470425958,0.625790139064475,1.01896333754741,5.80151706700379,7.88369152970923,62.5790139064475,87.1049304677623,100,100,11.3682112605879,0.625790139064475,1,1.37420986093552,5.5094816687737,62.5790139064475,100,100,100,8.3266715856114,1,9.25158027812895,10,10,100,100,100,100
E01026025,East Midlands,E07000136,Boston,943,7.19025224454895,2.88547189819724,6.13785790031813,10,10,100,100,100,100,7.11671654553228,4,4.89183457051962,5.12301166489926,8.70837751855779,100,100,100,100,7.12212489170109,4,10,10,10,100,100,100,100
E01026026,East Midlands,E07000136,Boston,815,12.3673435234336,1.15950920245399,4.64294478527607,9.17423312883436,10,100,100,100,100,10.2837632776935,3.64294478527607,4,5,8.80245398773006,100,100,100,100,8.97703092340634,4,10,10,10,100,100,100,100
E01026027,East Midlands,E07000136,Boston,746,11.5013290032412,1.58176943699732,4.29222520107239,8.78820375335121,10,81.6353887399464,100,100,100,10.1914083741164,3.31501340482574,4,5,8,100,100,100,100,8.21008678880187,4,10,10,10,100,100,100,100
E01026028,East Midlands,E07000136,Boston,805,13.254412802406,1.13664596273292,5.35776397515528,9.8472049689441,10,84.7204968944099,100,100,100,9.97119565217391,3.8472049689441,4,5,9,100,100,100,100,8.76990778964499,4,10,10,10,100,100,100,100
E01026029,East Midlands,E07000136,Boston,888,21.1291771453208,0.344594594594595,3.89864864864865,8.1509009009009,9.88513513513514,11.4864864864865,100,100,100,12.4614537444934,2.05855855855856,5,6.54054054054054,7.41441441441441,100,100,100,100,9.38913707621122,5,10,10,10,100,100,100,100
E01026030,East Midlands,E07000136,Boston,1003,8.99688750555803,2.61216350947159,5.74576271186441,10,10,100,100,100,100,7.91018230324589,4,5,5.35094715852443,8,100,100,100,100,7.98937313924529,4.10169491525424,10,10,10,100,100,100,100
E01026031,East Midlands,E07000136,Boston,588,15.1494093120222,0.384353741496599,4.78401360544218,9.78401360544218,10,38.4353741496599,100,100,100,9.5823488533704,3.61054421768708,4,5,8,100,100,100,100,9.39415590327344,4,10,10,10,100,100,100,100
E01026032,East Midlands,E07000136,Boston,772,9.08888888888889,1.76943005181347,5.30829015544041,10,10,100,100,100,100,7.75942028985507,4,4.30829015544041,5.19818652849741,8,100,100,100,100,7.72259887566313,4,10,10,10,100,100,100,100
E01026033,East Midlands,E07000136,Boston,732,25.4504011264122,0.139344262295082,1.65983606557377,6.48907103825137,9.31693989071038,13.9344262295082,86.0655737704918,100,100,28.34335839599,0.35655737704918,0.64344262295082,3.47814207650273,8.72814207650273,35.655737704918,50.4098360655738,68.1693989071038,100,14.0271080600289,1.51229508196721,10,10,10,50.4098360655738,100,100,100
E01026034,East Midlands,E07000136,Boston,778,12.5473158727265,0.559125964010283,1.84190231362468,8.05269922879177,9.84190231362468,55.9125964010283,100,100,100,8.81104154809334,1,1.87532133676093,5.7892030848329,10,100,100,100,100,7.41894725160159,3.40231362467866,10,10,10,100,100,100,100
E01026035,East Midlands,E07000136,Boston,842,17.0226786911742,0,5.79334916864608,9.71377672209026,10,0,100,100,100,11.2467963929758,3,5,6.53206650831354,7.71377672209026,100,100,100,100,9.41081162024065,4.71377672209026,10,10,10,100,100,100,100
