LSOA_code,Region,LA_Code,LA_Name,GP_pop,GPPTt,GPPT15n,GPPT30n,GPPT45n,GPPT60n,GPPT15pct,GPPT30pct,GPPT45pct,GPPT60pct,GPCyct,GPCyc15n,GPCyc30n,GPCyc45n,GPCyc60n,GPCyc15pct,GPCyc30pct,GPCyc45pct,GPCyc60pct,GPCart,GPCar15n,GPCar30n,GPCar45n,GPCar60n,GPCar15pct,GPCar30pct,GPCar45pct,GPCar60pct,GPWalkt,GPWalk15n,GPWalk30n,GPWalk45n,GPWalk60n,GPWalk15pct,GPWalk30pct,GPWalk45pct,GPWalk60pct
E01026006,East Midlands,E07000136,Boston,1216.02606964111,6.58582261849678,3.15491730067343,6.1218450800705,9.67101827502598,10,100,100,100,100,7.22883370996916,4,5,5.87380330947883,8.39338554709576,100,100,100,100,6.45477801332217,4.75195822940833,10,10,10,100,100,100,100,6.63185388442238,3.04786768358711,4,4,4.10704961708633,100,100,100,100
E01026007,East Midlands,E07000136,Boston,501.650436401367,21.3239242327769,0,2.770042203526,5,8,0,100,100,100,28.7795566468196,0,1,5,6,0,100,100,100,14.0541983562066,1,7.50421942487632,10,10,100,100,100,100,78.9393680854179,0,0,0,0,0,0,0,0
E01026008,East Midlands,E07000136,Boston,557.742149353027,39.8683679604861,0,3.22960152633264,4.2694497274917,5.92030362504003,0,74.0037953130003,74.0037953130003,74.0037953130003,27.7630168275166,0,2.61859582994337,4.74003795313,6.26944971381263,0,74.0037953130003,100,100,14.8903415227082,1.87855787681337,7.48007590626001,10,10,74.0037953130003,100,100,100,74.164573399664,0,0,0,0,0,0,0,0
E01026009,East Midlands,E07000136,Boston,546.100463867188,20.7164539252979,0.501937984712724,2.39728681022564,4.83139532999304,7.89534882551292,50.1937984712724,72.0930229309144,100,100,19.6115500888044,0,1,4.16279068792743,6.16666665735288,0,100,100,100,10.6107748902246,1,7,10,10,100,100,100,100,48.426163104656,0,0,0.554263571956264,0.781007755403579,0,0,55.4263571956264,78.1007755403579
E01026010,East Midlands,E07000136,Boston,667.808898925781,16.198700528857,0,4,6,10,0,100,100,100,11.4283201178436,4,4,5,8,100,100,100,100,8.44261464417867,4,9,10,10,100,100,100,100,20.4921076903734,0,4,4,4,0,100,100,100
E01026011,East Midlands,E07000136,Boston,1175.80935668945,15.4909719209365,0.776777670467335,3.78577858435226,6.815481531393,9.89288929217613,51.7551750281302,100,100,100,9.8879478496686,3.78577858435226,4,5,8.14221422136374,100,100,100,100,7.45279933489893,4,9.514851480009,10,10,100,100,100,100,15.5121421923784,0.776777670467335,3.56525652509189,4,4,51.7551750281302,100,100,100
E01026012,East Midlands,E07000136,Boston,581.025497436523,19.6553915760832,0,3.53734062323036,5.2531876141782,8.5063752283564,0,100,100,100,15.0253188201678,1.04371585158677,4,5.7468123858218,9,53.7340623230363,100,100,100,10.016211248376,4,9,10,10,100,100,100,100,31.7006915728992,0,0.759562842534605,3.76502732398295,4,0,25.3187614178202,100,100
E01026013,East Midlands,E07000136,Boston,661.45890045166,19.4400480922094,0.211199998855808,3.98559998697098,6.84639999558932,9.12639999005291,21.1199998855808,100,100,100,14.3149762033464,2.12159998955463,4,5.36320000310039,8.85279999625369,63.6799996899609,100,100,100,9.54089595457231,4,9,10,10,100,100,100,100,28.6175844111395,0,1.91039999069883,3.342399989407,4,0,63.6799996899609,100,100
E01026014,East Midlands,E07000136,Boston,845.609046936035,20.6926659387731,0,3.55944933214595,5.6458072716645,8.02628286567206,0,100,100,100,18.5054322336898,0.300375486523206,4,5.18397997850313,7.43929913031878,15.0187743261603,100,100,100,12.4911513012757,3.43929913031878,8.43929913031878,10,10,100,100,100,100,43.22811019386,0,0.300375486523206,1.75719652127511,3.09011264234802,0,15.0187743261603,43.9299130318779,100
E01026015,East Midlands,E07000136,Boston,680.508934020996,18.8880714310142,0,3.81337480216388,6,9.62208396289026,0,100,100,100,13.1599221653479,2.58631414236748,4,5,8.39968894453135,100,100,100,100,9.79597189745952,4,9,10,10,100,100,100,100,25.6304202707574,0,2.20684291760496,4,4,0,100,100,100
E01026016,East Midlands,E07000136,Boston,1044.57592010498,14.2574367328214,0.714285713242311,2.49442756146155,6.53698074906591,8.07700099744618,71.4285713242311,100,100,100,13.4144073992867,0.594731513584137,2.00405269253317,5.17021277232886,8.90374874041059,59.4731513584137,100,100,100,8.31713274446926,2.59473151358414,10,10,10,100,100,100,100,27.1465345981127,0.390070924109621,0.594731513584137,0.824721378438269,1.39007092410962,39.0070924109621,59.4731513584137,82.4721378438269,100
E01026017,East Midlands,E07000136,Boston,731.308971405029,27.1669602467948,0,0.845151971256491,3.52532565120212,6.68885679046305,0,51.9536912595925,100,100,16.3460487005102,0.519536912595925,1.68451519869053,4.71201156231876,10,51.9536912595925,100,100,100,9.49630959128146,2.28654123868498,10,10,10,100,100,100,100,37.4752383845601,0,0.447178011250939,0.684515198690527,0.756874100035513,0,44.7178011250939,68.4515198690527,68.4515198690527
E01026018,East Midlands,E07000136,Boston,756.708999633789,20.8270905025899,0.167832171286954,2.25734266801724,7.16223777532365,9.78321678589601,16.7832171286954,78.3216785896005,100,100,16.4004618070278,0.520279721915456,5.04195805542466,7,8,52.0279721915456,100,100,100,9.80583213552825,4.56363637885153,10,10,10,100,100,100,100,36.5918047686556,0.167832171286954,0.520279721915456,0.520279721915456,1.52167832342687,16.7832171286954,52.0279721915456,52.0279721915456,73.706293601945
E01026019,East Midlands,E07000136,Boston,1228.72608184814,11.2326095308812,1.09646856316254,3.96640826602234,8.90697674909564,9.34883721262352,92.7648579180391,92.7648579180391,100,100,8.73358318486271,0.927648579180391,3.95434968864169,7.09646856316254,8,92.7648579180391,100,100,100,6.9987769336901,4.30232558717134,10,10,10,100,100,100,100,11.2326095308812,0.927648579180391,0.927648579180391,1,1.48578811565251,92.7648579180391,92.7648579180391,100,100
E01026020,East Midlands,E07000136,Boston,980.017547607422,11.5735205206907,1.44168467716484,4.36717068035698,8.99568037644316,10,83.2613396073859,83.2613396073859,100,100,8.95704076746307,0.832613396073859,4.40280778489479,7.1349891937011,8,83.2613396073859,100,100,100,6.89151182700666,4.00107992924408,10,10,10,100,100,100,100,12.1801615925948,0.697624202372761,0.832613396073859,1,1.83261339607386,69.7624202372761,83.2613396073859,100,100
