LSOA_code,Region,LA_Code,LA_Name,Hosp_pop,HospPTt,HospPT15n,HospPT30n,HospPT45n,HospPT60n,HospPT15pct,HospPT30pct,HospPT45pct,HospPT60pct,HospCyct,HospCyc15n,HospCyc30n,HospCyc45n,HospCyc60n,HospCyc15pct,HospCyc30pct,HospCyc45pct,HospCyc60pct,HospCart,HospCar15n,HospCar30n,HospCar45n,HospCar60n,HospCar15pct,HospCar30pct,HospCar45pct,HospCar60pct
E01026006,East Midlands,E07000136,Boston,1112.56458,21.8596941445646,0,1,1,1.598853,0,100,100,100,18.088056843985,0,1,1,1,0,100,100,100,14.7883202417041,0.693409,1,1.787965,6.078319,69.3409,100,100,100
E01026007,East Midlands,E07000136,Boston,460.115056,23.9925258926221,0,1,1,1,0,100,100,100,27.5453776602198,0,1,1,1,0,100,100,100,13.9957126020163,1,1,2,3,100,100,100,100
E01026008,East Midlands,E07000136,Boston,560.001467,51.0350927250656,0,0.740037,0.740037,0.740037,0,74.0037,74.0037,74.0037,28.4223712213261,0,0.740037,1,1,0,74.0037,100,100,14.5734222864367,0.740037,1,2,2.740037,74.0037,100,100,100
E01026009,East Midlands,E07000136,Boston,500.494669,31.9730090273105,0,0.488322,1,1.549893,0,48.8322,100,100,35.3533501663828,0,0,1,1,0,0,100,100,15.4056907359177,0.488322,1,2,3,48.8322,100,100,100
E01026010,East Midlands,E07000136,Boston,670.514089,31.9230207638167,0,0,1,1,0,0,100,100,21.3716427456361,0,1,1,1,0,100,100,100,17.5623277081863,0,1,1,5,0,100,100,100
E01026011,East Midlands,E07000136,Boston,1067.934484,28.8537548565474,0,0.6398,1,1.392039,0,63.98,100,100,19.6799838673988,0,1,1,1,0,100,100,100,16.4447025607461,0,1,1,5,0,100,100,100
E01026012,East Midlands,E07000136,Boston,583.379136,24.1961067429991,0,1,1,1,0,100,100,100,17.6770694045153,0,1,1,1,0,100,100,100,11.6702187355422,1,1,2,3.765027,100,100,100,100
E01026013,East Midlands,E07000136,Boston,634.384962,22.0001661247861,0,1,1,1,0,100,100,100,14.8921246551725,0.386934,1,1,1,38.6934,100,100,100,11.8459998279294,1,1,2,4.055276,100,100,100,100
E01026014,East Midlands,E07000136,Boston,791.652925,32.6526492334495,0,0.226845,1,1,0,22.6845,100,100,22.6065084331799,0,1,1,1,0,100,100,100,14.1938436643514,0.867114,1,2,3.531543,86.7114,100,100,100
E01026015,East Midlands,E07000136,Boston,600.381077,31.21563637591,0,0.607079,1,1,0,60.7079,100,100,18.1818006332607,0,1,1,1,0,100,100,100,13.9626548254482,0.824778,1,2,4.175221,82.4778,100,100,100
