LSOA_code,Region,LA_Code,LA_Name,Ph_pop,PhCyct,PhCyc15n,PhCyc30n,PhCyc45n,PhCyc60n,PhCyc15pct,PhCyc30pct,PhCyc45pct,PhCyc60pct,PhCart,PhCar15n,PhCar30n,PhCar45n,PhCar60n,PhCar15pct,PhCar30pct,PhCar45pct,PhCar60pct
E01026006,East Midlands,E07000136,Boston,1179,5.58262987174173,6.89312977099237,8,8,9,100,100,100,100,5.15445907081319,8,9.71246819338422,10,10,100,100,100,100
E01026007,East Midlands,E07000136,Boston,486,26.6018545749803,0,1.25925925925926,7,8,--,100,100,100,13.8504567648469,3.01851851851852,10,10,10,100,100,100,100
E01026008,East Midlands,E07000136,Boston,541,24.8812984820494,0,4.92606284658041,7,8,--,100,100,100,13.2293403310874,3.59704251386322,9.47874306839187,10,10,73.9371534195933,100,100,100
E01026009,East Midlands,E07000136,Boston,530,36.1540809026579,0,0,5.61132075471698,7.44528301886792,--,--,100,100,15.1950405547289,1.33584905660377,9.44528301886792,10,10,44.5283018867925,100,100,100
E01026010,East Midlands,E07000136,Boston,648,10.5029818983929,6,7,8,9,100,100,100,100,7.97863518883309,7,10,10,10,100,100,100,100
E01026011,East Midlands,E07000136,Boston,1140,9.07841855220494,5.55964912280702,7,8,9,100,100,100,100,7.46643843243874,7,9.61754385964912,10,10,100,100,100,100
E01026012,East Midlands,E07000136,Boston,563,9.7660979340187,2.58436944937833,7,8,9,100,100,100,100,7.63753280510323,7,10,10,10,100,100,100,100
E01026013,East Midlands,E07000136,Boston,640,10.2477163125536,3.6078125,7,8,8.853125,85.3125,100,100,100,7.93045670768051,7,10,10,10,100,100,100,100
E01026014,East Midlands,E07000136,Boston,819,14.9785350947553,1.03663003663004,7,8,8.43956043956044,43.956043956044,100,100,100,10.2059060362543,5.87912087912088,10,10,10,100,100,100,100
E01026015,East Midlands,E07000136,Boston,659,9.48108289697477,3.98027314112291,7,8,9,100,100,100,100,7.93710369552107,7,10,10,10,100,100,100,100
