LSOA_Code,LSOA_Name,Supergroup_Code,Supergroup_Name,Group_Code,Group_Name,Subgroup_Code,Subgroup_Name
E01026007,Boston 001A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026008,Boston 001B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026009,Boston 001C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026010,Boston 002A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026012,Boston 004A,8,Legacy Communities,8b,Legacy and Demographically Mixed Communities,8b1,Challenged Families
E01026013,Boston 008A,1,Retired Professionals,1b,Small Town Suburbia,1b1,Younger Established Suburban Communities
E01026014,Boston 008B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026015,Boston 004B,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026016,Boston 006A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026017,Boston 007A,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026018,Boston 007B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026019,Boston 007C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026020,Boston 007D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026021,Boston 003B,5,Ethnically Diverse Suburb-an Professionals,5a,Outer Suburbs,5a1,Outer Suburb Asian Mix
E01026022,Boston 008C,5,Ethnically Diverse Suburb-an Professionals,5b,Suburban Professionals,5b2,Established Multi-Ethnic Suburbs
E01026023,Boston 001D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026024,Boston 001E,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026025,Boston 003C,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026026,Boston 004C,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026027,Boston 004D,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026028,Boston 004E,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026030,Boston 002C,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026031,Boston 009B,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026032,Boston 002D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026033,Boston 006B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026034,Boston 006C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026035,Boston 009C,1,Retired Professionals,1c,Established Mature Families,1c1,Affluent Mature Families
E01026036,Boston 003D,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026037,Boston 002E,6,Baseline UK,6b,Legacy Industrial and Coastal Communities,6b3,EU Singles
E01026038,Boston 008D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026039,Boston 009D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026040,Boston 008E,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b1,Terraces in Transitional Towns
E01026041,Boston 007E,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026042,East Lindsey 008A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026043,East Lindsey 008B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026044,East Lindsey 008C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026045,East Lindsey 001A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026046,East Lindsey 013A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026047,East Lindsey 013B,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026048,East Lindsey 010A,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026049,East Lindsey 010B,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026050,East Lindsey 010C,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026051,East Lindsey 016A,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026052,East Lindsey 016B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026053,East Lindsey 016C,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a1,Younger Suburban Family Renters
E01026054,East Lindsey 016D,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c1,Communal Retirement Living
E01026055,East Lindsey 013C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026056,East Lindsey 017A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026057,East Lindsey 018A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026058,East Lindsey 002A,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026059,East Lindsey 013D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026060,East Lindsey 009A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026061,East Lindsey 001B,1,Retired Professionals,1b,Small Town Suburbia,1b2,Older Established Suburban Communities
E01026062,East Lindsey 001C,1,Retired Professionals,1c,Established Mature Families,1c2,Burgeoning Mature Families
E01026063,East Lindsey 001D,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b2,Rural Mix
E01026064,East Lindsey 011A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026065,East Lindsey 011B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026066,East Lindsey 011C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026067,East Lindsey 011D,2,Suburbanites and Peri-Urbanites,2c,Ageing Communities,2c2,Ageing Independent Living
E01026068,East Lindsey 009B,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026069,East Lindsey 010D,1,Retired Professionals,1a,Spacious Rural Living,1a2,Retirement Spacious Living
E01026070,East Lindsey 009C,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026071,East Lindsey 007A,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026072,East Lindsey 005A,7,Semi- and Un-Skilled Workforce,7b,Young Families in Industrial Towns,7b2,Families and Later Life
E01026073,East Lindsey 005B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026074,East Lindsey 005C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026075,East Lindsey 018B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026076,East Lindsey 002B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026077,East Lindsey 003A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026078,East Lindsey 003B,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026079,East Lindsey 002C,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026080,East Lindsey 001E,2,Suburbanites and Peri-Urbanites,2b,Rural Amenity,2b1,Ageing Rural Communities
E01026081,East Lindsey 004A,2,Suburbanites and Peri-Urbanites,2a,Inner Suburbs and Small Town Living,2a3,Terraced Communities
E01026082,East Lindsey 007B,1,Retired Professionals,1a,Spacious Rural Living,1a1,Pre-Retirement Spacious Living
E01026083,East Lindsey 015A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
E01026084,East Lindsey 012A,7,Semi- and Un-Skilled Workforce,7a,Established but Challenged,7a2,Industry Associations
