PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01001889,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01001903,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01001955,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01004716,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01008107,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01008373,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01010540,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01011938,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01013788,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01013937,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01013941,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01013972,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01017827,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01020295,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025645,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025690,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025695,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025787,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025833,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025883,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025884,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025885,ALL,1523
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025886,ALL,1299
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025887,ALL,303
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025890,ALL,32
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025891,ALL,22
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025892,ALL,466
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025893,ALL,4
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025894,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025895,ALL,4
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025896,ALL,10
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025897,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025898,ALL,4
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025899,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025900,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025901,ALL,6
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025902,ALL,23
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025903,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025904,ALL,13
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025905,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025906,ALL,7
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025907,ALL,6
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025908,ALL,6
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025910,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025911,ALL,544
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01025912,ALL,138
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026221,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026231,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026248,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026291,ALL,362
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026292,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026293,ALL,6
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026294,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026308,ALL,6
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026309,ALL,12
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026310,ALL,7
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026311,ALL,1
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026312,ALL,2
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026313,ALL,3
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026315,ALL,794
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026317,ALL,12
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026318,ALL,5
GP_PRAC_PAT_LIST,01/04/2026,C82076,THE WELBY PRACTICE,E01026319,ALL,107
