PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01001889,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01001955,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01004716,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01008107,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01008373,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01011938,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013788,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013937,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013941,ALL,2
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013972,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01018060,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01020295,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025645,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025690,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025695,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025787,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025833,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025883,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025884,ALL,2
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025885,ALL,1511
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025886,ALL,1282
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025887,ALL,303
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025890,ALL,31
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025891,ALL,22
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025892,ALL,471
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025893,ALL,3
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025894,ALL,3
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025895,ALL,4
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025896,ALL,11
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025897,ALL,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025898,ALL,3
