PUBLICATION,EXTRACT_DATE,PRACTICE_CODE,PRACTICE_NAME,LSOA_CODE,SEX,NUMBER_OF_PATIENTS
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01001889,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01001955,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01008107,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01008373,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01011938,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013788,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013941,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01013972,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01018060,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025645,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025690,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025695,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025787,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025833,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025883,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025884,MALE,1
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025885,MALE,770
GP_PRAC_PAT_LIST,01/07/2026,C82076,THE WELBY PRACTICE,E01025886,MALE,627
