LSOA_CODE,LSOA_NAME,LAD_CODE,LAD_NAME,ONS_Pop_Total_2024,ONS_Pop_0to17,ONS_Pop_18to64,ONS_Pop_65plus,ONS_Pop_18plus,Pct_18plus,Pct_65plus,Pct_0to17,Pct_18to64,GP_Registered_Patients,GP_Registration_Rate_Pct,Registration_Gap_Est,List_Inflation_Est
E01026178,Lincoln 006D,E07000138,Lincoln,2201,337,1632,232,1864,84.68877782825989,10.540663334847796,15.311222171740118,74.14811449341208,2130,96.7741935483871,71,0
E01026177,Lincoln 006C,E07000138,Lincoln,2539,467,1948,124,2072,81.60693186293817,4.8838125246159905,18.393068137061835,76.72311933832218,2753,108.42851516345019,0,214
E01026176,Lincoln 006B,E07000138,Lincoln,2157,312,1736,109,1845,85.53546592489569,5.053314789058878,14.464534075104313,80.48215113583682,2544,117.94158553546592,0,387
E01026175,Lincoln 010E,E07000138,Lincoln,1952,407,1341,204,1545,79.14959016393442,10.450819672131148,20.850409836065573,68.69877049180327,1975,101.17827868852459,0,23
E01026166,Lincoln 001C,E07000138,Lincoln,1461,371,912,178,1090,74.60643394934976,12.183436002737851,25.39356605065024,62.422997946611915,1508,103.21697467488022,0,47
E01026165,Lincoln 002D,E07000138,Lincoln,1806,408,1094,304,1398,77.40863787375415,16.832779623477297,22.591362126245848,60.57585825027686,1870,103.54374307862679,0,64
E01026164,Lincoln 003F,E07000138,Lincoln,1599,267,938,394,1332,83.30206378986867,24.640400250156347,16.69793621013133,58.661663539712315,1440,90.0562851782364,159,0
E01026163,Lincoln 009F,E07000138,Lincoln,1341,224,800,317,1117,83.29604772557792,23.639075316927666,16.703952274422072,59.65697240865027,1336,99.62714392244594,5,0
E01026170,Lincoln 010B,E07000138,Lincoln,1604,405,931,268,1199,74.75062344139651,16.708229426433917,25.249376558603494,58.042394014962596,1703,106.17206982543641,0,99
E01026169,Lincoln 011G,E07000138,Lincoln,1764,271,940,553,1493,84.63718820861678,31.349206349206348,15.362811791383221,53.28798185941043,1804,102.26757369614512,0,40
E01026168,Lincoln 001D,E07000138,Lincoln,1742,503,1066,173,1239,71.12514351320321,9.931113662456946,28.874856486796784,61.19402985074627,1744,100.11481056257176,0,2
E01026167,Lincoln 003G,E07000138,Lincoln,1896,277,1121,498,1619,85.3902953586498,26.265822784810126,14.609704641350211,59.12447257383966,1703,89.82067510548524,193,0
E01026225,North Kesteven 003E,E07000139,North Kesteven,1761,372,1099,290,1389,78.87563884156728,16.467915956842702,21.12436115843271,62.40772288472459,1829,103.86144236229416,0,68
E01026224,North Kesteven 007D,E07000139,North Kesteven,1842,409,998,435,1433,77.79587404994571,23.615635179153095,22.204125950054287,54.18023887079262,1742,94.57111834961998,100,0
E01026223,North Kesteven 008D,E07000139,North Kesteven,2080,289,1204,587,1791,86.10576923076924,28.221153846153847,13.89423076923077,57.88461538461539,2203,105.91346153846153,0,123
E01026222,North Kesteven 009C,E07000139,North Kesteven,1804,224,920,660,1580,87.58314855875831,36.58536585365854,12.416851441241686,50.99778270509978,1805,100.05543237250554,0,1
E01026229,North Kesteven 011B,E07000139,North Kesteven,1897,460,1113,324,1437,75.7511860832894,17.079599367422247,24.248813916710596,58.671586715867164,1850,97.52240379546653,47,0
E01026228,North Kesteven 011A,E07000139,North Kesteven,1730,393,1134,203,1337,77.28323699421965,11.734104046242773,22.716763005780347,65.54913294797687,1769,102.2543352601156,0,39
E01026227,North Kesteven 010A,E07000139,North Kesteven,1610,304,1036,270,1306,81.11801242236025,16.77018633540373,18.88198757763975,64.34782608695652,1493,92.73291925465838,117,0
E01026226,North Kesteven 003F,E07000139,North Kesteven,1848,212,888,748,1636,88.52813852813853,40.476190476190474,11.471861471861471,48.05194805194805,1840,99.56709956709958,8,0
E01026215,North Kesteven 014B,E07000139,North Kesteven,1026,174,514,338,852,83.04093567251462,32.94346978557505,16.95906432748538,50.097465886939574,1086,105.84795321637428,0,60
E01026214,North Kesteven 014A,E07000139,North Kesteven,1095,194,619,282,901,82.28310502283105,25.753424657534246,17.716894977168952,56.529680365296805,1073,97.99086757990868,22,0
E01026213,North Kesteven 005E,E07000139,North Kesteven,1679,319,846,514,1360,81.00059559261466,30.613460393091124,18.99940440738535,50.38713519952353,1660,98.868374032162,19,0
E01034706,West Lindsey 009E,E07000142,West Lindsey,2044,473,1206,365,1571,76.85909980430529,17.857142857142858,23.140900195694716,59.00195694716243,2238,109.49119373776908,0,194
E01026212,North Kesteven 005D,E07000139,North Kesteven,1594,254,951,389,1340,84.06524466750314,24.40401505646173,15.934755332496863,59.6612296110414,1627,102.0702634880803,0,33
E01034705,South Kesteven 010G,E07000141,South Kesteven,1676,485,1041,150,1191,71.06205250596659,8.949880668257757,28.937947494033413,62.11217183770883,1696,101.19331742243436,0,20
E01026221,North Kesteven 009B,E07000139,North Kesteven,2489,355,1407,727,2134,85.73724387304138,29.208517476898354,14.262756126958617,56.52872639614303,2524,101.40618722378466,0,35
E01034704,South Kesteven 010F,E07000141,South Kesteven,2407,737,1573,97,1670,69.38097216452014,4.029912754466141,30.61902783547985,65.351059410054,2483,103.15745741587037,0,76
E01026220,North Kesteven 013A,E07000139,North Kesteven,2225,278,1120,827,1947,87.50561797752809,37.1685393258427,12.49438202247191,50.337078651685395,2338,105.07865168539325,0,113
E01034703,South Kesteven 010E,E07000141,South Kesteven,1429,281,681,467,1148,80.33589923023094,32.68019594121763,19.664100769769068,47.655703289013296,2116,148.07557732680198,0,687
E01026219,North Kesteven 014D,E07000139,North Kesteven,1146,215,630,301,931,81.239092495637,26.2652705061082,18.760907504363004,54.973821989528794,1163,101.48342059336824,0,17
E01026218,North Kesteven 014C,E07000139,North Kesteven,1171,138,570,463,1033,88.21520068317677,39.53885567890691,11.784799316823227,48.676345004269855,1076,91.8872758326217,95,0
E01026207,North Kesteven 012D,E07000139,North Kesteven,1255,185,683,387,1070,85.2589641434263,30.83665338645418,14.741035856573706,54.42231075697212,1321,105.2589641434263,0,66
E01026206,North Kesteven 001F,E07000139,North Kesteven,1832,298,1116,418,1534,83.73362445414847,22.816593886462883,16.266375545851528,60.91703056768559,1796,98.0349344978166,36,0
E01034707,West Lindsey 009F,E07000142,West Lindsey,1324,127,763,434,1197,90.40785498489427,32.779456193353475,9.592145015105741,57.62839879154078,1306,98.64048338368579,18,0
E01026205,North Kesteven 005B,E07000139,North Kesteven,1698,322,900,476,1376,81.03651354534746,28.032979976442874,18.963486454652532,53.003533568904594,1702,100.23557126030624,0,4
E01026204,North Kesteven 001E,E07000139,North Kesteven,1575,227,740,608,1348,85.5873015873016,38.60317460317461,14.412698412698413,46.98412698412698,1572,99.80952380952381,3,0
E01026211,North Kesteven 005C,E07000139,North Kesteven,2016,440,1075,501,1576,78.17460317460318,24.851190476190478,21.825396825396826,53.323412698412696,2139,106.10119047619047,0,123
E01026210,North Kesteven 007C,E07000139,North Kesteven,2493,418,1410,665,2075,83.23305254713198,26.674689129562772,16.76694745286803,56.55836341756919,2485,99.67910148415564,8,0
E01026209,North Kesteven 009A,E07000139,North Kesteven,2073,212,1048,813,1861,89.77327544621322,39.218523878437054,10.226724553786783,50.554751567776165,2037,98.26338639652677,36,0
E01026208,North Kesteven 012E,E07000139,North Kesteven,1628,254,883,491,1374,84.3980343980344,30.159705159705158,15.601965601965603,54.23832923832924,1522,93.48894348894349,106,0
E01026199,North Kesteven 003D,E07000139,North Kesteven,2715,481,1517,717,2234,82.28360957642725,26.40883977900553,17.716390423572744,55.87476979742173,1638,60.331491712707184,1077,0
E01026198,North Kesteven 008C,E07000139,North Kesteven,1822,505,1262,55,1317,72.28320526893523,3.0186608122941823,27.716794731064766,69.26454445664105,559,30.680570801317238,1263,0
E01026197,North Kesteven 008B,E07000139,North Kesteven,1468,205,907,356,1263,86.03542234332426,24.250681198910083,13.96457765667575,61.78474114441417,1386,94.4141689373297,82,0
E01026196,North Kesteven 006D,E07000139,North Kesteven,1480,201,768,511,1279,86.41891891891892,34.52702702702703,13.58108108108108,51.891891891891895,1539,103.9864864864865,0,59
E01026203,North Kesteven 001D,E07000139,North Kesteven,2274,423,1182,669,1851,81.39841688654353,29.419525065963057,18.601583113456467,51.97889182058047,2470,108.61917326297275,0,196
E01026202,North Kesteven 012C,E07000139,North Kesteven,2012,315,963,734,1697,84.34393638170974,36.48111332007952,15.656063618290258,47.862823061630216,2039,101.34194831013916,0,27
E01026201,North Kesteven 012B,E07000139,North Kesteven,2118,342,1083,693,1776,83.85269121813032,32.71954674220963,16.147308781869686,51.13314447592068,2051,96.83663833805477,67,0
E01026200,North Kesteven 012A,E07000139,North Kesteven,1833,256,1034,543,1577,86.03382433169668,29.623567921440262,13.966175668303327,56.41025641025641,1689,92.14402618657938,144,0
E01026258,South Holland 005B,E07000140,South Holland,2658,565,1419,674,2093,78.74341610233259,25.357411587659897,21.25658389766742,53.38600451467269,2826,106.32054176072234,0,168
E01026257,South Holland 002C,E07000140,South Holland,2259,448,1076,735,1811,80.16821602478973,32.536520584329345,19.83178397521027,47.63169544046038,2277,100.79681274900398,0,18
E01026256,South Holland 008C,E07000140,South Holland,1634,294,850,490,1340,82.00734394124846,29.98776009791922,17.99265605875153,52.01958384332925,1713,104.83476132190943,0,79
E01026255,South Holland 008B,E07000140,South Holland,2070,367,1057,646,1703,82.27053140096618,31.207729468599034,17.729468599033815,51.06280193236715,2074,100.19323671497584,0,4
E01026263,South Holland 009B,E07000140,South Holland,2626,597,1567,462,2029,77.26580350342726,17.593297791317593,22.734196496572736,59.67250571210967,2785,106.05483625285605,0,159
E01026262,South Holland 009A,E07000140,South Holland,1466,230,818,418,1236,84.31105047748977,28.512960436562075,15.688949522510232,55.7980900409277,1645,112.21009549795362,0,179
E01026260,South Holland 005D,E07000140,South Holland,2030,434,1114,482,1596,78.62068965517241,23.74384236453202,21.379310344827587,54.8768472906404,2042,100.5911330049261,0,12
E01026259,South Holland 005C,E07000140,South Holland,1742,293,1028,421,1449,83.18025258323766,24.167623421354765,16.819747416762343,59.01262916188289,1768,101.49253731343283,0,26
E01026250,South Holland 003A,E07000140,South Holland,2203,489,1305,409,1714,77.80299591466182,18.565592374035404,22.197004085338175,59.237403540626424,2255,102.3604176123468,0,52
E01026249,South Holland 010B,E07000140,South Holland,2332,373,1289,670,1959,84.00514579759863,28.730703259005146,15.994854202401374,55.27444253859348,2241,96.09777015437393,91,0
E01026248,South Holland 002B,E07000140,South Holland,2393,394,1396,603,1999,83.53531132469703,25.198495612202255,16.464688675302966,58.33681571249477,2393,100.0,0,0
E01026247,South Holland 001D,E07000140,South Holland,2005,298,1034,673,1707,85.13715710723191,33.566084788029926,14.86284289276808,51.571072319201996,2060,102.7431421446384,0,55
E01026254,South Holland 008A,E07000140,South Holland,1818,285,908,625,1533,84.32343234323433,34.378437843784376,15.676567656765677,49.94499449944995,1646,90.53905390539055,172,0
E01026253,South Holland 003D,E07000140,South Holland,2053,413,1171,469,1640,79.88309790550414,22.844617632732586,20.11690209449586,57.03848027277155,2137,104.0915733073551,0,84
E01026252,South Holland 003C,E07000140,South Holland,1846,302,963,581,1544,83.64030335861322,31.473456121343446,16.35969664138678,52.16684723726978,2054,111.26760563380283,0,208
E01026251,South Holland 003B,E07000140,South Holland,1947,347,1021,579,1600,82.17770929635336,29.738058551617875,17.822290703646637,52.43965074473549,2169,111.40215716486904,0,222
E01026242,South Holland 001A,E07000140,South Holland,1973,412,1052,509,1561,79.11809427268119,25.798276735935122,20.881905727318802,53.31981753674607,2107,106.79168778509884,0,134
E01026241,South Holland 005A,E07000140,South Holland,2059,452,1259,348,1607,78.04759592034969,16.901408450704224,21.952404079650314,61.14618746964546,2107,102.33122875182129,0,48
E01026240,South Holland 011B,E07000140,South Holland,3492,812,1992,688,2680,76.74684994272624,19.702176403207332,23.253150057273768,57.0446735395189,3385,96.93585337915235,107,0
E01026239,South Holland 011A,E07000140,South Holland,2138,427,1285,426,1711,80.02806361085126,19.92516370439663,19.971936389148738,60.10289990645463,2094,97.94200187090739,44,0
E01026246,South Holland 002A,E07000140,South Holland,2324,433,1206,685,1891,81.36833046471601,29.475043029259894,18.631669535283994,51.893287435456116,2314,99.5697074010327,10,0
E01026245,South Holland 010A,E07000140,South Holland,2630,418,1422,790,2212,84.10646387832699,30.038022813688215,15.893536121673005,54.06844106463878,2721,103.46007604562737,0,91
E01026244,South Holland 001C,E07000140,South Holland,1397,256,736,405,1141,81.67501789549033,28.99069434502505,18.32498210450966,52.68432355046529,1506,107.80243378668575,0,109
E01026243,South Holland 001B,E07000140,South Holland,1404,344,722,338,1060,75.49857549857549,24.074074074074073,24.501424501424502,51.42450142450142,1545,110.04273504273505,0,141
E01026233,North Kesteven 011C,E07000139,North Kesteven,1663,314,949,400,1349,81.11846061334937,24.052916416115455,18.88153938665063,57.06554419723392,1727,103.84846662657847,0,64
E01026232,North Kesteven 010D,E07000139,North Kesteven,2164,369,1150,645,1795,82.94824399260628,29.805914972273566,17.051756007393713,53.14232902033271,2296,106.09981515711647,0,132
E01026231,North Kesteven 010C,E07000139,North Kesteven,3294,672,2018,604,2622,79.59927140255009,18.336369156041286,20.40072859744991,61.2629022465088,3654,110.92896174863387,0,360
E01026230,North Kesteven 010B,E07000139,North Kesteven,2103,591,1237,275,1512,71.89728958630528,13.076557299096528,28.10271041369472,58.820732287208756,2238,106.41940085592012,0,135
E01026238,North Kesteven 004F,E07000139,North Kesteven,1631,388,971,272,1243,76.21091354996933,16.676885346413243,23.789086450030656,59.5340282035561,1612,98.83507050889025,19,0
E01026237,North Kesteven 004E,E07000139,North Kesteven,1119,172,577,370,947,84.62913315460231,33.065236818588026,15.370866845397677,51.5638963360143,1072,95.79982126899017,47,0
E01026236,North Kesteven 011E,E07000139,North Kesteven,1134,171,612,351,963,84.92063492063492,30.952380952380953,15.079365079365079,53.96825396825397,1129,99.55908289241623,5,0
E01026235,North Kesteven 010E,E07000139,North Kesteven,1646,343,972,331,1303,79.16160388821385,20.1093560145808,20.838396111786146,59.05224787363304,1679,102.0048602673147,0,33
E01026293,South Kesteven 007B,E07000141,South Kesteven,2053,393,1235,425,1660,80.85728202630297,20.701412566975158,19.142717973697028,60.15586945932782,2053,100.0,0,0
E01026292,South Kesteven 007A,E07000141,South Kesteven,1381,212,750,419,1169,84.64880521361331,30.340333091962346,15.351194786386676,54.30847212165097,1349,97.68283852280956,32,0
E01026291,South Kesteven 002A,E07000141,South Kesteven,2539,551,1375,613,1988,78.29854273335958,24.143363528948406,21.701457266640407,54.15517920441118,2631,103.62347380858606,0,92
E01026290,South Kesteven 008A,E07000141,South Kesteven,2177,388,1094,695,1789,82.1773082223243,31.924666972898486,17.8226917776757,50.252641249425814,2247,103.21543408360128,0,70
E01026298,South Kesteven 011D,E07000141,South Kesteven,2315,489,1363,463,1826,78.8768898488121,20.0,21.123110151187905,58.8768898488121,2521,108.89848812095033,0,206
E01026297,South Kesteven 011C,E07000141,South Kesteven,1513,284,735,494,1229,81.22934567085261,32.650363516192996,18.77065432914739,48.57898215465962,1451,95.90218109715796,62,0
E01026296,South Kesteven 011B,E07000141,South Kesteven,1431,178,696,557,1253,87.56114605171209,38.923829489867224,12.43885394828791,48.63731656184486,1504,105.10132774283719,0,73
E01026294,South Kesteven 007C,E07000141,South Kesteven,1551,377,912,262,1174,75.69310122501612,16.892327530625405,24.306898774983882,58.80077369439072,1570,101.22501611863315,0,19
E01026285,South Holland 004D,E07000140,South Holland,1449,228,781,440,1221,84.26501035196688,30.36576949620428,15.734989648033126,53.8992408557626,1549,106.90131124913734,0,100
E01026284,South Holland 011C,E07000140,South Holland,2414,474,1435,505,1940,80.36454018227009,20.91963545981773,19.63545981772991,59.444904722452364,2629,108.90637945318973,0,215
E01026283,South Holland 004C,E07000140,South Holland,1792,288,983,521,1504,83.92857142857143,29.073660714285715,16.071428571428573,54.85491071428571,1766,98.54910714285714,26,0
E01026282,South Holland 004B,E07000140,South Holland,2031,425,1067,539,1606,79.07434761201378,26.53865091088134,20.92565238798621,52.53569670113245,2080,102.41260462826193,0,49
E01026289,South Kesteven 015C,E07000141,South Kesteven,2309,523,1351,435,1786,77.34950194889562,18.839324382849718,22.65049805110437,58.510177566045904,2183,94.54309224772629,126,0
E01026288,South Kesteven 015B,E07000141,South Kesteven,1625,353,965,307,1272,78.27692307692308,18.892307692307693,21.723076923076924,59.38461538461538,1671,102.83076923076923,0,46
E01026287,South Kesteven 015A,E07000141,South Kesteven,1289,205,719,365,1084,84.09619860356867,28.316524437548484,15.90380139643134,55.779674166020165,1305,101.2412723041117,0,16
E01026286,South Holland 004E,E07000140,South Holland,1259,181,734,344,1078,85.62351072279587,27.323272438443208,14.37648927720413,58.30023828435266,1282,101.82684670373312,0,23
E01026277,South Holland 008D,E07000140,South Holland,1669,441,935,293,1228,73.57699221090473,17.555422408627923,26.423007789095266,56.021569802276815,1789,107.18993409227082,0,120
E01026276,South Holland 001E,E07000140,South Holland,2421,428,1272,721,1993,82.32135481206113,29.781082197439073,17.67864518793887,52.540272614622054,2735,112.96984717059067,0,314
E01026275,South Holland 006E,E07000140,South Holland,2687,583,1668,436,2104,78.30294008187569,16.226274655749904,21.697059918124303,62.076665426125786,2749,102.30740602902866,0,62
E01026273,South Holland 006C,E07000140,South Holland,1792,328,913,551,1464,81.69642857142857,30.747767857142854,18.303571428571427,50.94866071428571,1899,105.97098214285714,0,107
E01026281,South Holland 004A,E07000140,South Holland,1544,250,882,412,1294,83.80829015544042,26.683937823834196,16.191709844559586,57.12435233160622,1784,115.54404145077721,0,240
E01026280,South Holland 010C,E07000140,South Holland,2826,519,1569,738,2307,81.63481953290871,26.11464968152866,18.365180467091292,55.52016985138004,1675,59.27105449398443,1151,0
E01026279,South Holland 008F,E07000140,South Holland,1375,229,754,392,1146,83.34545454545454,28.50909090909091,16.654545454545456,54.836363636363636,1337,97.23636363636363,38,0
E01026278,South Holland 008E,E07000140,South Holland,1459,240,834,385,1219,83.55037697052776,26.387936943111722,16.449623029472242,57.16244002741604,1314,90.06168608636052,145,0
E01026268,South Holland 007A,E07000140,South Holland,2077,464,1183,430,1613,77.66008666345691,20.702936928261916,22.33991333654309,56.95714973519499,2276,109.58112662493981,0,199
E01026266,South Holland 006B,E07000140,South Holland,2348,424,1603,321,1924,81.94207836456559,13.671209540034072,18.05792163543441,68.27086882453152,2519,107.28279386712096,0,171
E01026265,South Holland 009D,E07000140,South Holland,1514,281,797,436,1233,81.43989431968296,28.797886393659184,18.56010568031704,52.64200792602378,1732,114.39894319682959,0,218
E01026264,South Holland 009C,E07000140,South Holland,1631,345,1028,258,1286,78.84733292458614,15.818516247700797,21.152667075413856,63.02881667688535,1680,103.00429184549355,0,49
E01026272,South Holland 007E,E07000140,South Holland,1424,241,851,332,1183,83.07584269662921,23.314606741573034,16.924157303370787,59.76123595505618,1497,105.12640449438202,0,73
E01026271,South Holland 007D,E07000140,South Holland,1785,388,1094,303,1397,78.26330532212886,16.974789915966387,21.73669467787115,61.28851540616247,1710,95.7983193277311,75,0
E01026270,South Holland 007C,E07000140,South Holland,1983,485,1219,279,1498,75.54210791729703,14.069591527987896,24.457892082702976,61.47251638930913,2270,114.47302067574383,0,287
E01026269,South Holland 007B,E07000140,South Holland,2140,347,1133,660,1793,83.78504672897196,30.8411214953271,16.214953271028037,52.94392523364486,2291,107.05607476635515,0,151
E01026328,South Kesteven 003D,E07000141,South Kesteven,1550,426,904,220,1124,72.51612903225806,14.193548387096774,27.483870967741936,58.322580645161295,1587,102.38709677419355,0,37
E01026327,South Kesteven 003C,E07000141,South Kesteven,1457,291,810,356,1166,80.02745367192861,24.433768016472204,19.97254632807138,55.59368565545641,1537,105.4907343857241,0,80
E01026326,South Kesteven 003B,E07000141,South Kesteven,1521,322,786,413,1199,78.82971729125575,27.153188691650232,21.17028270874425,51.67652859960552,1630,107.1663379355687,0,109
E01026325,South Kesteven 003A,E07000141,South Kesteven,1636,409,944,283,1227,75.0,17.29828850855746,25.0,57.701711491442545,1726,105.50122249388754,0,90
E01026332,South Kesteven 007E,E07000141,South Kesteven,2199,344,1175,680,1855,84.35652569349705,30.923146884947705,15.643474306502956,53.433378808549335,2240,101.86448385629832,0,41
E01026331,South Kesteven 009B,E07000141,South Kesteven,2454,403,1343,708,2051,83.57783211083944,28.850855745721272,16.422167889160555,54.726976365118176,2441,99.47025264873676,13,0
E01026330,South Kesteven 012A,E07000141,South Kesteven,2137,384,1184,569,1753,82.03088441740758,26.626111371080956,17.96911558259242,55.404773046326625,2149,100.561534861956,0,12
E01026329,South Kesteven 001C,E07000141,South Kesteven,1832,308,942,582,1524,83.1877729257642,31.768558951965066,16.812227074235807,51.419213973799124,2012,109.82532751091702,0,180
E01026319,South Kesteven 006C,E07000141,South Kesteven,2675,590,1565,520,2085,77.94392523364486,19.439252336448597,22.05607476635514,58.504672897196265,2664,99.58878504672897,11,0
E01026318,South Kesteven 006B,E07000141,South Kesteven,2266,550,1500,216,1716,75.72815533980582,9.532215357458076,24.271844660194176,66.19593998234775,2251,99.33804060017653,15,0
E01026317,South Kesteven 006A,E07000141,South Kesteven,2478,474,1731,273,2004,80.87167070217917,11.016949152542372,19.128329297820823,69.8547215496368,2644,106.69895076674737,0,166
E01026316,South Kesteven 007D,E07000141,South Kesteven,2559,419,1334,806,2140,83.62641656897225,31.49667838999609,16.373583431027743,52.12973817897616,2832,110.66822977725674,0,273
E01026324,South Kesteven 004E,E07000141,South Kesteven,2010,366,1145,499,1644,81.7910447761194,24.82587064676617,18.208955223880597,56.96517412935324,1975,98.2587064676617,35,0
E01026323,South Kesteven 004D,E07000141,South Kesteven,2068,356,1274,438,1712,82.7852998065764,21.179883945841393,17.2147001934236,61.605415860735015,2063,99.75822050290135,5,0
E01026322,South Kesteven 004C,E07000141,South Kesteven,1182,231,642,309,951,80.45685279187818,26.14213197969543,19.543147208121827,54.314720812182735,1315,111.25211505922165,0,133
E01026321,South Kesteven 004B,E07000141,South Kesteven,1443,258,760,425,1185,82.12058212058211,29.452529452529454,17.87941787941788,52.66805266805267,1508,104.5045045045045,0,65
E01026311,South Kesteven 005D,E07000141,South Kesteven,1617,397,1005,215,1220,75.44836116264688,13.296227581941867,24.551638837353124,62.152133580705005,1688,104.39084724799011,0,71
E01026310,South Kesteven 005C,E07000141,South Kesteven,1143,270,634,239,873,76.37795275590551,20.909886264216972,23.62204724409449,55.46806649168854,1158,101.31233595800524,0,15
E01026309,South Kesteven 005B,E07000141,South Kesteven,1654,356,949,349,1298,78.47642079806529,21.100362756952844,21.5235792019347,57.37605804111246,1556,94.07496977025393,98,0
E01026308,South Kesteven 005A,E07000141,South Kesteven,1667,561,965,141,1106,66.34673065386923,8.458308338332333,33.65326934613078,57.88842231553689,1756,105.33893221355729,0,89
