LSOA_Code,LSOA_Name,Local_Authority_District,Resident_Population_ONS_2024,GP_Registered_Patients,Number_Difference,Percentage_Difference_Pct,GP_Registration_Coverage_Pct
E01026023,Boston 001D,Boston,1686,4797,3111,184.52,284.52
E01026032,Boston 002D,Boston,2073,2761,688,33.19,133.19
E01034703,South Kesteven 010E,South Kesteven,1429,2116,687,48.08,148.08
E01034682,Boston 003F,Boston,1564,2250,686,43.86,143.86
E01026382,West Lindsey 004D,West Lindsey,2034,2657,623,30.63,130.63
E01026025,Boston 003C,Boston,2351,2961,610,25.95,125.95
E01026036,Boston 003D,Boston,1686,2264,578,34.28,134.28
E01026394,West Lindsey 010B,West Lindsey,2979,3543,564,18.93,118.93
E01026021,Boston 003B,Boston,1750,2308,558,31.89,131.89
E01026030,Boston 002C,Boston,2559,3076,517,20.2,120.2
E01026020,Boston 007D,Boston,3124,3628,504,16.13,116.13
E01034681,Boston 003E,Boston,1392,1880,488,35.06,135.06
E01026018,Boston 007B,Boston,1687,2104,417,24.72,124.72
E01026013,Boston 008A,Boston,1609,2014,405,25.17,125.17
E01026094,East Lindsey 015B,East Lindsey,2490,2890,400,16.06,116.06
E01026077,East Lindsey 003A,East Lindsey,1825,2213,388,21.26,121.26
E01026176,Lincoln 006B,Lincoln,2157,2544,387,17.94,117.94
E01026091,East Lindsey 003F,East Lindsey,1395,1773,378,27.1,127.1
E01026231,North Kesteven 010C,North Kesteven,3294,3654,360,10.93,110.93
E01034679,Boston 002F,Boston,1384,1728,344,24.86,124.86
E01026037,Boston 002E,Boston,1555,1879,324,20.84,120.84
E01026276,South Holland 001E,South Holland,2421,2735,314,12.97,112.97
E01034680,Boston 002G,Boston,1558,1863,305,19.58,119.58
E01026016,Boston 006A,Boston,2417,2716,299,12.37,112.37
E01026270,South Holland 007C,South Holland,1983,2270,287,14.47,114.47
E01026028,Boston 004E,Boston,1763,2045,282,16.0,116.0
E01026316,South Kesteven 007D,South Kesteven,2559,2832,273,10.67,110.67
E01026012,Boston 004A,Boston,1121,1391,270,24.09,124.09
E01026066,East Lindsey 011C,East Lindsey,2356,2613,257,10.91,110.91
E01026031,Boston 009B,Boston,1661,1917,256,15.41,115.41
E01034700,South Holland 009G,South Holland,1366,1619,253,18.52,118.52
E01034684,Boston 009F,Boston,1600,1850,250,15.62,115.62
E01026069,East Lindsey 010D,East Lindsey,2281,2530,249,10.92,110.92
E01026040,Boston 008E,Boston,1837,2083,246,13.39,113.39
E01026281,South Holland 004A,South Holland,1544,1784,240,15.54,115.54
E01026093,East Lindsey 014B,East Lindsey,1806,2045,239,13.23,113.23
E01026027,Boston 004D,Boston,1818,2054,236,12.98,112.98
E01026015,Boston 004B,Boston,1861,2096,235,12.63,112.63
E01026126,Lincoln 004D,Lincoln,2100,2335,235,11.19,111.19
E01026312,South Kesteven 005E,South Kesteven,1274,1505,231,18.13,118.13
E01026251,South Holland 003B,South Holland,1947,2169,222,11.4,111.4
E01026412,West Lindsey 008B,West Lindsey,2250,2468,218,9.69,109.69
E01026265,South Holland 009D,South Holland,1514,1732,218,14.4,114.4
E01026123,Lincoln 004B,Lincoln,2701,2917,216,8.0,108.0
E01026284,South Holland 011C,South Holland,2414,2629,215,8.91,108.91
E01026177,Lincoln 006C,Lincoln,2539,2753,214,8.43,108.43
E01026039,Boston 009D,Boston,1197,1408,211,17.63,117.63
E01026033,Boston 006B,Boston,2446,2654,208,8.5,108.5
E01026252,South Holland 003C,South Holland,1846,2054,208,11.27,111.27
E01026298,South Kesteven 011D,South Kesteven,2315,2521,206,8.9,108.9
E01026268,South Holland 007A,South Holland,2077,2276,199,9.58,109.58
E01026203,North Kesteven 001D,North Kesteven,2274,2470,196,8.62,108.62
E01026081,East Lindsey 004A,East Lindsey,2286,2481,195,8.53,108.53
E01034706,West Lindsey 009E,West Lindsey,2044,2238,194,9.49,109.49
E01026121,East Lindsey 007C,East Lindsey,2705,2896,191,7.06,107.06
E01026010,Boston 002A,Boston,1924,2115,191,9.93,109.93
E01026019,Boston 007C,Boston,2709,2899,190,7.01,107.01
E01026065,East Lindsey 011B,East Lindsey,2089,2278,189,9.05,109.05
E01026092,East Lindsey 014A,East Lindsey,1397,1585,188,13.46,113.46
E01026302,South Kesteven 010D,South Kesteven,1057,1244,187,17.69,117.69
E01026190,North Kesteven 004D,North Kesteven,2184,2370,186,8.52,108.52
E01032998,South Kesteven 011F,South Kesteven,1886,2071,185,9.81,109.81
E01026114,East Lindsey 014D,East Lindsey,1735,1915,180,10.37,110.37
E01026329,South Kesteven 001C,South Kesteven,1832,2012,180,9.83,109.83
E01026014,Boston 008B,Boston,1877,2056,179,9.54,109.54
E01026262,South Holland 009A,South Holland,1466,1645,179,12.21,112.21
E01026266,South Holland 006B,South Holland,2348,2519,171,7.28,107.28
E01026258,South Holland 005B,South Holland,2658,2826,168,6.32,106.32
E01026391,West Lindsey 003C,West Lindsey,2056,2224,168,8.17,108.17
E01026046,East Lindsey 013A,East Lindsey,1571,1738,167,10.63,110.63
E01026317,South Kesteven 006A,South Kesteven,2478,2644,166,6.7,106.7
E01032992,North Kesteven 014F,North Kesteven,1452,1617,165,11.36,111.36
E01026026,Boston 004C,Boston,2311,2472,161,6.97,106.97
E01026073,East Lindsey 005B,East Lindsey,1900,2060,160,8.42,108.42
E01026355,South Kesteven 002C,South Kesteven,2588,2748,160,6.18,106.18
E01026365,South Kesteven 002D,South Kesteven,2291,2450,159,6.94,106.94
E01026263,South Holland 009B,South Holland,2626,2785,159,6.05,106.05
E01026099,East Lindsey 005D,East Lindsey,1995,2153,158,7.92,107.92
E01034694,North Kesteven 003J,North Kesteven,1982,2136,154,7.77,107.77
E01026350,South Kesteven 016B,South Kesteven,2078,2231,153,7.36,107.36
E01026269,South Holland 007B,South Holland,2140,2291,151,7.06,107.06
E01026041,Boston 007E,Boston,1368,1518,150,10.96,110.96
E01026131,Lincoln 007D,Lincoln,1365,1509,144,10.55,110.55
E01026243,South Holland 001B,South Holland,1404,1545,141,10.04,110.04
E01026141,Lincoln 011E,Lincoln,1483,1622,139,9.37,109.37
E01026007,Boston 001A,Boston,1137,1274,137,12.05,112.05
E01026034,Boston 006C,Boston,1758,1894,136,7.74,107.74
E01026230,North Kesteven 010B,North Kesteven,2103,2238,135,6.42,106.42
E01026242,South Holland 001A,South Holland,1973,2107,134,6.79,106.79
E01026104,East Lindsey 006B,East Lindsey,2072,2206,134,6.47,106.47
E01026322,South Kesteven 004C,South Kesteven,1182,1315,133,11.25,111.25
E01026232,North Kesteven 010D,North Kesteven,2164,2296,132,6.1,106.1
E01026113,East Lindsey 008D,East Lindsey,1986,2117,131,6.6,106.6
E01026075,East Lindsey 018B,East Lindsey,2197,2327,130,5.92,105.92
E01034683,Boston 009E,Boston,1456,1585,129,8.86,108.86
E01026070,East Lindsey 009C,East Lindsey,2314,2442,128,5.53,105.53
E01026314,South Kesteven 001B,South Kesteven,1385,1513,128,9.24,109.24
E01026129,Lincoln 007C,Lincoln,1722,1850,128,7.43,107.43
E01026102,East Lindsey 018D,East Lindsey,2365,2489,124,5.24,105.24
E01026223,North Kesteven 008D,North Kesteven,2080,2203,123,5.91,105.91
E01026124,Lincoln 004C,Lincoln,1994,2117,123,6.17,106.17
E01026211,North Kesteven 005C,North Kesteven,2016,2139,123,6.1,106.1
E01026173,Lincoln 010D,Lincoln,1558,1680,122,7.83,107.83
E01026054,East Lindsey 016D,East Lindsey,1519,1641,122,8.03,108.03
E01026118,East Lindsey 016E,East Lindsey,1873,1994,121,6.46,106.46
E01026277,South Holland 008D,South Holland,1669,1789,120,7.19,107.19
