Practice Code,Practice Name,List size aged 18+ 2425,Register 2425,Prevalence (%) 2425,MH002 (Patients receiving Intervention % / Achievement Rate %),MH003 (Patients receiving Intervention % / Achievement Rate %),MH006 (Patients receiving Intervention % / Achievement Rate %),MH007 (Patients receiving Intervention % / Achievement Rate %),MH011 (Patients receiving Intervention % / Achievement Rate %),MH012 (Patients receiving Intervention % / Achievement Rate %),Overall PCA Rate (%) 2425
C83051,Abbey Medical Practice,"9,056",130,1.435512367,18.6440678,69.49152542,53.38983051,61.86440678,58.47457627,59.22330097,38.71763255
C83617,Abbeyview Surgery,"9,175",61,0.664850136,85.41666667,89.58333333,91.66666667,89.58333333,89.58333333,86.84210526,5.214723926
C83019,Beacon Medical Practice,"22,075",243,1.100792752,16.08040201,69.84924623,97.48743719,53.26633166,61.80904523,60.36585366,1.988217968
C83003,Beechfield Medical Centre,"21,409",198,0.924844691,54.03726708,77.63975155,73.91304348,74.53416149,70.80745342,71.72413793,28.53285329
C83030,Billinghay Medical Practice,"5,186",38,0.732741998,81.25,96.875,96.875,96.875,93.75,96.55172414,5.429864253
C83643,Binbrook Surgery,"2,376",23,0.968013468,69.23076923,84.61538462,84.61538462,84.61538462,92.30769231,90,13.63636364
C83082,Birchwood Medical Practice,"10,698",119,1.11235745,96.55172414,87.35632184,95.40229885,95.40229885,85.05747126,86.66666667,4.857621441
C83014,Boultham Park Medical Practice,"10,377",115,1.108220102,72.5,92.5,86.25,91.25,86.25,87.14285714,11.45454545
C83054,Bourne Galletly Practice Team,"15,418",83,0.53833182,60.71428571,82.14285714,73.21428571,76.78571429,80.35714286,80,20.7253886
C83029,Branston & Heighington Family Practice,"4,672",47,1.005993151,54.54545455,66.66666667,45.45454545,54.54545455,75.75757576,64.28571429,25.66371681
C83078,Brant Road & Springcliffe Surgery,"9,003",86,0.955237143,70.51282051,89.74358974,93.58974359,94.87179487,83.33333333,80.95238095,9.22787194
C83626,Brayford Medical Practice,"10,615",161,1.51672162,66.43356643,81.81818182,76.22377622,72.72727273,67.83216783,66.11570248,22.98263534
C83613,Caistor Health Centre,"5,281",65,1.230827495,94.11764706,90.19607843,92.15686275,96.07843137,86.2745098,84.21052632,5.23255814
C83044,Caskgate Street Surgery,"12,202",172,1.409604983,34.89932886,75.83892617,77.18120805,57.04697987,65.10067114,66.41791045,39.29961089
C83020,Caythorpe & Ancaster Medical Practice,"10,055",68,0.676280457,82.9787234,93.61702128,87.23404255,91.4893617,89.36170213,86.84210526,10.9375
C83062,Church Walk Surgery,"5,761",47,0.815830585,83.33333333,94.44444444,94.44444444,91.66666667,91.66666667,92.30769231,6.198347107
C83018,Cleveland Surgery,"12,239",166,1.356319961,36.71875,85.15625,71.875,67.1875,68.75,69.02654867,28.83087401
C83073,Cliff House Medical Practice,"8,217",108,1.314348302,68.42105263,77.63157895,72.36842105,81.57894737,65.78947368,70.3125,4.230769231
C83053,Colsterworth Surgery,"2,438",34,1.394585726,59.25925926,88.88888889,74.07407407,81.48148148,77.77777778,70.83333333,16.12903226
C83049,Dr Sinha & Partners,"10,138",67,0.660879858,26.92307692,88.46153846,80.76923077,75,82.69230769,82.9787234,1.671309192
C83056,East Lindsey Medical Group,"14,048",141,1.003701595,52.54237288,79.66101695,69.49152542,78.81355932,64.40677966,65.625,25.37313433
C83079,Glebe Park Surgery,"6,304",72,1.14213198,66,76,74,72,76,73.33333333,2.028985507
C83036,Gosberton Medical Centre,"8,208",68,0.828460039,53.33333333,84.44444444,86.66666667,88.88888889,80,85.36585366,16.39871383
C83059,Greyfriars Surgery,"14,139",114,0.806280501,52.38095238,85.71428571,79.36507937,76.19047619,71.42857143,72.22222222,13.19444444
C83045,Hawthorn Medical Practice,"16,754",176,1.050495404,30.90909091,69.09090909,53.33333333,49.6969697,60.60606061,60.14492754,35.72695035
C83001,Heart Of Lincoln Health Group,"29,208",261,0.893590797,44.95412844,69.72477064,65.59633028,65.13761468,57.33944954,55.19125683,32.93091885
C83035,Hereward Medical Centre,"12,383",87,0.702576112,85.91549296,92.95774648,92.95774648,91.54929577,83.09859155,85,6.58436214
C83033,Hibaldstow Medical Practice,"3,765",31,0.823373174,77.27272727,100,100,100,95.45454545,94.44444444,5.333333333
C83028,Holbeach Medical Centre,"7,913",53,0.6697839,80,97.5,92.5,92.5,92.5,90.32258065,7.011070111
C83027,Horncastle Medical Group,"10,321",94,0.910764461,64,89.33333333,81.33333333,85.33333333,76,77.41935484,17.7734375
C83085,James Street Family Practice,"13,418",140,1.043374571,65.48672566,84.07079646,73.45132743,80.53097345,75.22123894,77.77777778,17.37451737
C83057,Kirton Medical Centre,"8,284",56,0.676001931,64.44444444,82.22222222,80,86.66666667,73.33333333,74.35897436,21.3592233
C83007,Lakeside Healthcare Stamford,"27,085",203,0.749492339,81.25,89.375,86.875,82.5,79.375,79.5620438,15.49680948
C83009,Lindum Medical Practice,"8,738",131,1.499198901,58.97435897,82.90598291,78.63247863,88.88888889,74.35897436,73.78640777,19.00621118
