LSOA21CD,LSOA21NM,LSOA21NMW,RUC21CD,RUC21NM,Urban_rural_flag,ObjectId
E01026010,Boston 002A,,UF1,Urban: Further from a major town or city,Urban,24452
E01026062,East Lindsey 001C,,RLN1,Larger rural: Nearer to a major town or city,Rural,24456
E01026063,East Lindsey 001D,,RLN1,Larger rural: Nearer to a major town or city,Rural,24460
E01026012,Boston 004A,,UF1,Urban: Further from a major town or city,Urban,24463
E01026064,East Lindsey 011A,,RLF1,Larger rural: Further from a major town or city,Rural,24467
E01026013,Boston 008A,,UF1,Urban: Further from a major town or city,Urban,24469
E01026014,Boston 008B,,RSF1,Smaller rural: Further from a major town or city,Rural,24474
E01026015,Boston 004B,,UF1,Urban: Further from a major town or city,Urban,24480
E01026065,East Lindsey 011B,,RLF1,Larger rural: Further from a major town or city,Rural,24481
E01026016,Boston 006A,,RSF1,Smaller rural: Further from a major town or city,Rural,24487
E01026066,East Lindsey 011C,,RLF1,Larger rural: Further from a major town or city,Rural,24488
E01026017,Boston 007A,,RSF1,Smaller rural: Further from a major town or city,Rural,24494
E01026067,East Lindsey 011D,,RLF1,Larger rural: Further from a major town or city,Rural,24495
E01026018,Boston 007B,,RSF1,Smaller rural: Further from a major town or city,Rural,24501
E01026068,East Lindsey 009B,,RSF1,Smaller rural: Further from a major town or city,Rural,24502
E01026069,East Lindsey 010D,,UF1,Urban: Further from a major town or city,Urban,24556
E01026019,Boston 007C,,RLF1,Larger rural: Further from a major town or city,Rural,24557
E01026020,Boston 007D,,RLF1,Larger rural: Further from a major town or city,Rural,24560
E01026070,East Lindsey 009C,,RSF1,Smaller rural: Further from a major town or city,Rural,24562
E01026021,Boston 003B,,UF1,Urban: Further from a major town or city,Urban,24565
E01026071,East Lindsey 007A,,RSF1,Smaller rural: Further from a major town or city,Rural,24568
E01026022,Boston 008C,,UF1,Urban: Further from a major town or city,Urban,24571
E01026072,East Lindsey 005A,,UF1,Urban: Further from a major town or city,Urban,24574
