"lsoa11","samhi_index.2011","samhi_dec.2011","samhi_index.2012","samhi_dec.2012","samhi_index.2013","samhi_dec.2013","samhi_index.2014","samhi_dec.2014","samhi_index.2015","samhi_dec.2015","samhi_index.2016","samhi_dec.2016","samhi_index.2017","samhi_dec.2017","samhi_index.2018","samhi_dec.2018","samhi_index.2019","samhi_dec.2019","samhi_index.2020","samhi_dec.2020","samhi_index.2021","samhi_dec.2021","samhi_index.2022","samhi_dec.2022"
"E01000001",-1.75789539000612,1,-1.68224150935229,1,-2.01078291969678,1,-1.55140645115925,1,-1.53494259048969,1,-1.52000430968317,1,-1.38215579256215,1,-1.32794329981231,1,-1.0070018420111,1,-1.14175278934636,1,-0.938783468428484,1,-1.16185071866859,1
"E01000002",-1.75290025546787,1,-1.80078292136759,1,-1.94341488046346,1,-1.87266705169706,1,-1.56860207547655,1,-1.40991594869786,1,-1.47874442376779,1,-1.19489384588161,1,-1.06050940216627,1,-1.385228135731,1,-1.16650856765453,1,-1.18659354090453,1
"E01000003",-0.879432761237171,6,-0.538204211087121,7,-0.316848810628603,8,-0.856988259245014,4,-0.533503283321835,5,-0.720171395631748,3,-0.579886006661619,3,-0.598213427231047,2,-0.636049169930491,1,-0.893179473544774,1,-0.918306830628477,1,-0.863323298021972,1
"E01000005",-1.47275497573396,2,-1.69795547424551,1,-1.3141363830806,2,-1.07206519780222,3,-1.24969860148084,1,-0.952313921666052,2,-0.97507332229232,1,-0.583134803973296,2,-0.822970325604273,1,-0.845664755349153,1,-0.949500408907694,1,-1.14861058730519,1
"E01000006",-2.36595953140838,1,-2.49682153309289,1,-2.20473111711942,1,-2.05290195848549,1,-1.91444394086491,1,-1.58440719064004,1,-1.36936270446813,1,-1.54760598056893,1,-1.17814824678123,1,-1.33278757136415,1,-1.23508994026457,1,-1.06445370505977,1
"E01000007",-2.30597808439619,1,-1.96909306715262,1,-1.76932595327483,1,-1.40887299172429,1,-1.60614428991317,1,-1.47759575463924,1,-1.21682140613914,1,-1.36104210315264,1,-1.10035840038703,1,-0.89161850873682,1,-1.05121985541841,1,-1.18412411001318,1
"E01000008",-2.12850111731872,1,-2.2467297531797,1,-1.89337766720543,1,-1.79779920369307,1,-1.71996182887954,1,-1.70640115411269,1,-1.29040808118323,1,-1.3592280304541,1,-1.05024875007717,1,-0.961388909317561,1,-0.828803765252243,1,-1.02781953472544,1
"E01000009",-1.9767080080291,1,-2.15906163829118,1,-1.88429934855158,1,-1.67514943762983,1,-1.31407756955411,1,-1.34228946600862,1,-1.08635757355998,1,-0.862730107339805,1,-0.858438789512329,1,-0.900679221392189,1,-0.665234044786961,1,-0.811539664634652,1
"E01000010",-2.27951182559027,1,-2.2488440719422,1,-1.9966286536139,1,-1.77648037829259,1,-1.59897881446925,1,-1.62495434689581,1,-1.24559413822483,1,-1.332388501487,1,-1.12185323300656,1,-1.14729590201981,1,-0.980615427969003,1,-1.07706142831652,1
"E01000011",-2.19173696909982,1,-2.19748354144067,1,-1.63892276033021,1,-1.47817410374401,1,-1.54559007175995,1,-1.37593207083109,1,-1.31506660140697,1,-1.12016555364926,1,-1.17748659395528,1,-0.776596818107682,1,-0.761104099124216,1,-0.871157158612882,1
